Customer_ID,Subscription,Monthly_Fee,Spending_Category,Monthly_Spending,Cancel_Probability
CUSTS-3196,PlayStation Plus,28.34,Travel,139.04,0.52
CUSTS-9166,Hulu,7.54,Education,453.03,0.04
CUSTS-6712,Disney+,11.94,Utilities,175.65,0.8
CUSTS-5264,Adobe Creative Cloud,8.71,Food,146.36,0.35
CUSTS-5658,PlayStation Plus,9.68,Healthcare,194.85,0.68
CUSTS-3355,Spotify,25.59,Education,280.55,0.5
CUSTS-9506,Disney+,15.75,Food,252.84,0.54
CUSTS-9514,Netflix,7.93,Travel,382.93,0.25
CUSTS-9067,Hulu,11.05,Entertainment,337.24,0.85
CUSTS-3331,PlayStation Plus,25.38,Entertainment,342.03,0.92
CUSTS-6885,Disney+,25.98,Education,195.64,0.48
CUSTS-3346,Apple Music,15.19,Food,112.31,0.5
CUSTS-4873,Disney+,15.24,Utilities,232.34,0.8
CUSTS-6593,PlayStation Plus,12.53,Shopping,195.4,0.7
CUSTS-7388,Apple Music,14.5,Utilities,145.27,0.3
CUSTS-8482,Apple Music,16.04,Utilities,94.88,0.25
CUSTS-8391,Adobe Creative Cloud,21.22,Entertainment,430.65,0.36
CUSTS-6600,PlayStation Plus,7.45,Entertainment,222.63,0.52
CUSTS-6838,Adobe Creative Cloud,14.51,Utilities,134.8,0.16
CUSTS-1705,Adobe Creative Cloud,26.66,Shopping,201.61,0.94
CUSTS-7553,Amazon Prime,6.69,Travel,462.73,0.5
CUSTS-3917,Spotify,13.76,Food,364.62,0.59
CUSTS-7172,PlayStation Plus,12.27,Entertainment,442.59,0.05
CUSTS-9134,Apple Music,7.48,Travel,156.38,0.72
CUSTS-2113,Amazon Prime,20.19,Healthcare,294.64,0.44
CUSTS-5936,PlayStation Plus,9.31,Food,298.44,0.47
CUSTS-1511,PlayStation Plus,13.95,Entertainment,365.7,0.63
CUSTS-3039,Disney+,11.44,Education,239.43,0.02
CUSTS-9028,Disney+,10.48,Entertainment,86.25,0.51
CUSTS-7395,Hulu,24.98,Healthcare,249.01,0.64
CUSTS-3745,Spotify,28.04,Entertainment,221.68,0.95
CUSTS-7074,Amazon Prime,18.51,Food,258.83,0.77
CUSTS-9293,Netflix,25.56,Education,341.42,0.88
CUSTS-3254,Apple Music,15.75,Healthcare,113.27,0.63
CUSTS-8542,Disney+,16.64,Shopping,151.83,0.93
CUSTS-1732,Netflix,5.77,Travel,285.04,0.17
CUSTS-1845,Hulu,7.94,Healthcare,251.32,0.22
CUSTS-7057,PlayStation Plus,10.84,Healthcare,72.54,0.24
CUSTS-1550,Adobe Creative Cloud,9.27,Utilities,364.15,0.76
CUSTS-9632,Apple Music,22.86,Travel,448.24,0.75
CUSTS-2959,Adobe Creative Cloud,19.21,Education,285.32,0.41
CUSTS-8862,Netflix,26.61,Education,301.97,0.72
CUSTS-4537,Netflix,6.57,Travel,364.37,0.26
CUSTS-8130,Disney+,27.5,Shopping,451.17,0.62
CUSTS-7955,PlayStation Plus,15.18,Travel,486.75,0.36
CUSTS-6194,Apple Music,21.45,Utilities,190.29,0.07
CUSTS-5945,Amazon Prime,29.5,Travel,334.38,0.66
CUSTS-2727,Spotify,14.61,Healthcare,372.71,0.79
CUSTS-7011,Disney+,5.75,Education,113.03,0.47
CUSTS-5756,Netflix,27.17,Utilities,72.84,0.9
CUSTS-3137,Spotify,12.2,Food,392.33,0.82
CUSTS-8091,Disney+,15.74,Food,77.05,0.87
CUSTS-7071,Apple Music,25.31,Travel,492.01,0.15
CUSTS-4619,Apple Music,7.18,Travel,239.31,0.15
CUSTS-4555,Hulu,13.59,Education,256.59,0.71
CUSTS-2152,Adobe Creative Cloud,21.79,Utilities,484.64,0.61
CUSTS-5688,Hulu,19.46,Shopping,312.21,0.21
CUSTS-9652,Hulu,19.07,Entertainment,288.75,0.54
CUSTS-7969,Apple Music,12.88,Food,80.07,0.53
CUSTS-3311,Netflix,28.36,Travel,352.51,0.14
CUSTS-3422,PlayStation Plus,18.74,Travel,307.15,0.64
CUSTS-1134,Adobe Creative Cloud,27.9,Education,347.75,0.63
CUSTS-7106,Adobe Creative Cloud,5.52,Education,166.79,0.34
CUSTS-9974,Amazon Prime,6.59,Shopping,308.68,0.52
CUSTS-2211,Apple Music,17.2,Utilities,424.59,0.87
CUSTS-3603,Amazon Prime,22.57,Food,148.67,0.28
CUSTS-4007,Spotify,24.07,Education,316.47,0.4
CUSTS-1389,PlayStation Plus,5.87,Travel,257.11,0.93
CUSTS-6890,Spotify,12.38,Healthcare,309.89,0.78
CUSTS-3063,Spotify,19.98,Education,490.05,0.98
CUSTS-4113,PlayStation Plus,6.1,Shopping,398.1,0.37
CUSTS-2211,Amazon Prime,21.42,Healthcare,240.85,0.67
CUSTS-5342,Netflix,15.73,Travel,104.4,0.81
CUSTS-9415,PlayStation Plus,24.76,Entertainment,88.73,0.56
CUSTS-8163,Disney+,20.88,Food,101.4,0.94
CUSTS-2782,Adobe Creative Cloud,13.2,Utilities,114.02,0.64
CUSTS-6403,Amazon Prime,9.77,Utilities,262.2,0.6
CUSTS-1270,Adobe Creative Cloud,9.68,Healthcare,72.46,0.64
CUSTS-3380,Apple Music,15.65,Travel,136.53,0.26
CUSTS-2243,Adobe Creative Cloud,8.72,Shopping,468.34,0.21
CUSTS-9212,PlayStation Plus,27.76,Entertainment,467.05,0.31
CUSTS-8462,Disney+,11.91,Shopping,438.86,0.33
CUSTS-5253,Amazon Prime,20.48,Shopping,254.76,0.08
CUSTS-8246,Disney+,11.6,Healthcare,337.43,0.62
CUSTS-7037,Hulu,17.14,Food,221.57,0.62
CUSTS-6079,Spotify,20.97,Utilities,383.9,0.96
CUSTS-1018,Spotify,29.72,Utilities,282.38,0.5
CUSTS-6622,Disney+,6.49,Shopping,154.82,0.89
CUSTS-7085,PlayStation Plus,10.21,Utilities,323.82,0.79
CUSTS-3225,Spotify,10.24,Shopping,87.02,0.29
CUSTS-7281,Disney+,27.13,Travel,62.16,0.68
CUSTS-4043,Netflix,12.26,Utilities,75.47,0.95
CUSTS-8871,Amazon Prime,18.08,Shopping,357.19,0.49
CUSTS-8486,Hulu,6.73,Entertainment,387.3,0.76
CUSTS-5290,Spotify,15.22,Entertainment,412.7,0.77
CUSTS-8841,Disney+,18.55,Entertainment,474.08,0.39
CUSTS-2166,Netflix,28.0,Food,283.16,0.12
CUSTS-4878,Spotify,25.71,Travel,311.46,0.38
CUSTS-7671,Adobe Creative Cloud,17.27,Food,492.98,0.64
CUSTS-4227,Netflix,14.71,Healthcare,150.13,0.89
CUSTS-6455,PlayStation Plus,15.81,Healthcare,419.64,0.86
CUSTS-7889,Disney+,13.97,Healthcare,97.03,0.93
CUSTS-7057,Hulu,21.85,Utilities,429.51,0.1
CUSTS-2079,Netflix,5.33,Shopping,493.28,0.8
CUSTS-8895,Hulu,28.7,Entertainment,427.08,0.53
CUSTS-3577,Spotify,19.24,Entertainment,55.83,0.2
CUSTS-5980,Adobe Creative Cloud,8.3,Utilities,50.27,0.84
CUSTS-2453,Spotify,11.15,Entertainment,377.25,0.66
CUSTS-8126,Apple Music,7.73,Food,121.24,0.83
CUSTS-3333,PlayStation Plus,11.48,Entertainment,493.61,0.0
CUSTS-7786,Spotify,8.66,Healthcare,488.31,0.71
CUSTS-6952,Amazon Prime,27.43,Education,478.36,0.43
CUSTS-4842,Disney+,21.76,Shopping,461.74,0.6
CUSTS-6725,Hulu,5.45,Shopping,289.56,0.03
CUSTS-7849,PlayStation Plus,11.78,Healthcare,180.03,0.89
CUSTS-2978,Spotify,19.52,Entertainment,62.73,0.81
CUSTS-3688,PlayStation Plus,14.2,Travel,253.92,0.62
CUSTS-8537,Apple Music,8.74,Entertainment,345.78,0.87
CUSTS-5895,Disney+,18.09,Utilities,119.43,0.04
CUSTS-9525,Spotify,25.26,Shopping,61.17,0.85
CUSTS-1364,Apple Music,17.51,Entertainment,207.77,0.36
CUSTS-3481,Hulu,23.21,Education,320.81,0.37
CUSTS-7589,Netflix,22.59,Entertainment,117.65,0.9
CUSTS-5541,Hulu,18.94,Food,363.2,0.16
CUSTS-2575,Adobe Creative Cloud,7.6,Utilities,368.6,0.74
CUSTS-1449,Apple Music,23.68,Entertainment,135.69,0.63
CUSTS-7213,Disney+,5.81,Shopping,451.13,0.07
CUSTS-2394,Disney+,18.56,Shopping,277.23,0.79
CUSTS-6095,Apple Music,14.63,Education,52.48,0.99
CUSTS-4292,Spotify,5.34,Food,457.08,0.81
CUSTS-5999,Adobe Creative Cloud,17.55,Travel,209.46,0.24
CUSTS-3569,Hulu,25.84,Shopping,326.85,0.5
CUSTS-1052,Netflix,16.33,Utilities,353.9,0.22
CUSTS-8154,Netflix,5.37,Entertainment,305.4,0.39
CUSTS-8333,Hulu,17.36,Education,409.52,0.17
CUSTS-1298,Spotify,24.44,Food,447.83,0.02
CUSTS-6655,Amazon Prime,17.27,Shopping,275.96,0.12
CUSTS-4210,Adobe Creative Cloud,21.49,Healthcare,456.3,0.05
CUSTS-8404,Netflix,8.82,Utilities,227.03,0.14
CUSTS-2307,Hulu,11.4,Entertainment,155.31,0.81
CUSTS-5277,Adobe Creative Cloud,9.21,Travel,246.99,0.6
CUSTS-8326,Netflix,23.58,Shopping,447.51,0.95
CUSTS-8857,Spotify,25.55,Education,429.12,0.92
CUSTS-3554,Amazon Prime,23.68,Education,419.56,0.11
CUSTS-2200,Amazon Prime,28.99,Healthcare,365.73,0.33
CUSTS-5847,Apple Music,22.6,Entertainment,379.6,0.19
CUSTS-9309,Disney+,18.34,Healthcare,395.33,0.35
CUSTS-3368,Spotify,20.91,Healthcare,245.68,0.59
CUSTS-9820,PlayStation Plus,12.6,Shopping,107.43,0.17
CUSTS-6558,Adobe Creative Cloud,27.5,Entertainment,78.73,0.99
CUSTS-8064,Apple Music,15.11,Utilities,173.72,0.43
CUSTS-3280,Hulu,10.8,Utilities,457.33,0.99
CUSTS-5790,Netflix,12.61,Travel,81.86,0.45
CUSTS-3824,Spotify,12.7,Food,416.12,0.05
CUSTS-2656,PlayStation Plus,8.19,Entertainment,395.17,0.72
CUSTS-1893,Spotify,17.16,Healthcare,260.62,0.66
CUSTS-3147,Hulu,13.8,Shopping,123.04,0.21
CUSTS-4697,Spotify,28.17,Shopping,480.7,0.11
CUSTS-9217,PlayStation Plus,25.98,Entertainment,143.09,0.94
CUSTS-7071,Apple Music,26.34,Travel,96.08,0.02
CUSTS-2511,Disney+,7.13,Entertainment,203.57,0.31
CUSTS-5750,PlayStation Plus,19.18,Shopping,362.22,0.39
CUSTS-5406,PlayStation Plus,16.3,Shopping,102.29,0.53
CUSTS-5747,Netflix,14.14,Entertainment,361.54,0.8
CUSTS-7776,Spotify,11.02,Food,148.09,0.24
CUSTS-2015,PlayStation Plus,22.53,Food,326.62,0.08
CUSTS-6210,PlayStation Plus,12.86,Entertainment,171.53,0.66
CUSTS-8274,PlayStation Plus,26.33,Travel,208.26,0.58
CUSTS-2786,Netflix,20.41,Entertainment,237.11,0.54
CUSTS-4921,Amazon Prime,5.36,Education,391.62,0.91
CUSTS-4310,Disney+,27.53,Utilities,104.01,0.67
CUSTS-2445,Netflix,10.84,Utilities,175.37,0.6
CUSTS-9790,PlayStation Plus,15.39,Travel,357.33,0.09
CUSTS-2069,Amazon Prime,29.15,Entertainment,241.95,0.66
CUSTS-4489,Amazon Prime,20.03,Food,481.74,0.41
CUSTS-7384,Apple Music,6.72,Education,279.83,0.45
CUSTS-8228,Amazon Prime,8.48,Utilities,268.53,0.28
CUSTS-1309,Hulu,27.69,Healthcare,447.12,0.49
CUSTS-8096,Adobe Creative Cloud,25.4,Education,353.11,0.85
CUSTS-9826,Hulu,9.38,Entertainment,369.39,0.23
CUSTS-1431,Adobe Creative Cloud,8.01,Food,186.94,0.85
CUSTS-3362,Adobe Creative Cloud,15.81,Shopping,426.65,0.58
CUSTS-7458,Hulu,8.07,Travel,308.1,0.69
CUSTS-6104,Hulu,6.89,Healthcare,123.07,0.61
CUSTS-7045,Apple Music,6.36,Travel,222.33,0.7
CUSTS-2051,Disney+,10.68,Healthcare,71.45,0.61
CUSTS-8173,Apple Music,9.49,Entertainment,447.73,0.99
CUSTS-7060,Netflix,25.47,Shopping,419.07,0.1
CUSTS-6997,Netflix,11.48,Healthcare,67.08,0.55
CUSTS-6851,Disney+,17.97,Food,225.29,0.11
CUSTS-2589,Hulu,12.28,Utilities,201.33,0.19
CUSTS-3941,Hulu,18.4,Healthcare,498.07,0.12
CUSTS-1350,PlayStation Plus,20.34,Shopping,131.68,0.38
CUSTS-9533,Disney+,21.41,Food,209.88,0.38
CUSTS-9454,PlayStation Plus,20.23,Food,336.83,0.22
CUSTS-6185,Adobe Creative Cloud,8.88,Healthcare,245.18,0.14
CUSTS-1259,Hulu,20.31,Shopping,185.37,0.87
CUSTS-4215,Amazon Prime,8.19,Utilities,236.83,0.54
CUSTS-5227,Netflix,14.91,Education,399.46,0.76
CUSTS-2572,Spotify,13.72,Healthcare,143.33,0.39
CUSTS-7119,Amazon Prime,22.49,Entertainment,201.56,0.28
CUSTS-3716,Spotify,12.36,Entertainment,292.61,0.45
CUSTS-5829,Amazon Prime,9.97,Food,242.09,0.19
CUSTS-7533,PlayStation Plus,28.3,Travel,449.79,0.14
CUSTS-1882,Apple Music,20.63,Utilities,484.8,0.28
CUSTS-7014,Spotify,10.63,Healthcare,477.53,0.61
CUSTS-5820,Adobe Creative Cloud,27.94,Utilities,348.1,0.79
CUSTS-5534,Netflix,7.1,Entertainment,117.77,0.14
CUSTS-8861,Adobe Creative Cloud,23.83,Travel,419.38,0.82
CUSTS-4900,Disney+,19.71,Entertainment,269.51,0.23
CUSTS-4879,Netflix,28.07,Travel,284.58,0.35
CUSTS-6100,Spotify,27.67,Shopping,491.92,0.74
CUSTS-4228,Disney+,23.28,Utilities,483.8,0.81
CUSTS-7171,Netflix,14.19,Entertainment,189.78,0.6
CUSTS-9207,Adobe Creative Cloud,24.72,Utilities,211.89,0.44
CUSTS-7942,Disney+,5.75,Entertainment,319.04,0.24
CUSTS-4467,Apple Music,19.73,Education,324.71,0.96
CUSTS-1709,Netflix,17.2,Entertainment,483.26,0.62
CUSTS-8403,Amazon Prime,22.67,Utilities,190.58,0.15
CUSTS-5024,PlayStation Plus,16.77,Food,284.44,0.07
CUSTS-1764,Netflix,6.72,Healthcare,319.19,0.4
CUSTS-9408,Hulu,11.76,Education,342.92,0.12
CUSTS-3981,Netflix,16.67,Utilities,105.31,0.33
CUSTS-1869,Disney+,14.01,Food,82.4,0.22
CUSTS-6120,Disney+,24.42,Food,472.96,0.9
CUSTS-6823,Amazon Prime,17.53,Education,428.52,0.87
CUSTS-7409,PlayStation Plus,27.83,Utilities,97.42,0.91
CUSTS-9766,Apple Music,21.5,Entertainment,445.93,0.71
CUSTS-5585,Amazon Prime,27.34,Entertainment,203.46,0.28
CUSTS-7648,Netflix,29.47,Food,73.89,0.35
CUSTS-5569,Apple Music,11.71,Shopping,334.84,0.78
CUSTS-7761,Hulu,27.46,Entertainment,238.71,0.22
CUSTS-6265,Apple Music,15.9,Food,309.6,0.65
CUSTS-5376,Netflix,9.07,Education,320.96,0.78
CUSTS-3933,Adobe Creative Cloud,29.73,Entertainment,163.05,0.52
CUSTS-4286,Disney+,7.72,Food,345.72,0.37
CUSTS-5790,Hulu,21.33,Travel,431.31,0.86
CUSTS-2646,PlayStation Plus,12.4,Entertainment,269.06,0.24
CUSTS-7817,PlayStation Plus,13.76,Entertainment,378.5,0.61
CUSTS-4058,Netflix,7.64,Education,188.47,0.6
CUSTS-2234,Adobe Creative Cloud,9.75,Education,318.13,0.43
CUSTS-4271,PlayStation Plus,13.39,Utilities,178.4,0.65
CUSTS-5655,Amazon Prime,27.44,Education,357.97,0.6
CUSTS-8260,Netflix,14.33,Healthcare,157.44,0.11
CUSTS-3538,Spotify,26.93,Shopping,483.87,1.0
CUSTS-4045,Adobe Creative Cloud,25.17,Entertainment,242.86,0.2
CUSTS-3897,Netflix,6.91,Education,146.35,0.5
CUSTS-4260,Apple Music,10.63,Healthcare,317.98,0.64
CUSTS-2989,Hulu,8.75,Shopping,358.35,0.94
CUSTS-4550,Spotify,14.15,Education,418.0,0.23
CUSTS-7002,Disney+,10.84,Utilities,324.69,0.35
CUSTS-3792,PlayStation Plus,13.86,Entertainment,272.22,0.05
CUSTS-7926,Disney+,25.53,Travel,151.06,0.72
CUSTS-6115,Amazon Prime,18.49,Food,159.31,0.72
CUSTS-5071,Spotify,24.68,Shopping,177.88,0.25
CUSTS-4671,Apple Music,25.7,Utilities,419.85,0.15
CUSTS-4791,Hulu,21.92,Shopping,268.52,0.31
CUSTS-7028,Adobe Creative Cloud,17.2,Utilities,233.24,0.83
CUSTS-5992,Apple Music,25.51,Shopping,193.55,0.0
CUSTS-6573,Netflix,23.71,Education,381.26,0.01
CUSTS-3077,Netflix,28.22,Education,143.29,0.79
CUSTS-9701,Netflix,28.7,Food,338.59,0.52
