business_id,market_trend_score,industry_growth_rate,competitor_count,customer_acquisition_cost,customer_retention_rate,advertising_budget,brand_reputation_score,social_media_engagement,sentiment_score
MKT-00034,2,12.45,102,468.5,88.5,1068369.72,2.06,972148,3.13
MKT-00035,4,14.87,253,98.86,85.22,3998494.66,4.19,333321,4.37
MKT-00036,6,13.07,120,114.0,90.54,390499.35,2.4,775041,3.39
MKT-00037,4,14.03,128,339.54,55.5,1585302.25,1.28,2617,4.81
MKT-00038,10,13.08,329,151.82,89.96,2545988.47,2.25,736881,1.38
MKT-00039,7,10.06,270,160.12,94.9,2162584.83,2.66,803404,1.93
MKT-00040,8,0.65,228,353.73,58.5,2554744.05,4.32,485963,2.18
MKT-00041,1,14.3,203,359.49,60.68,4259317.55,4.1,530772,4.92
MKT-00042,4,-3.45,311,147.08,53.63,3627789.93,3.01,470820,2.59
MKT-00043,1,5.7,205,399.88,72.34,1966311.75,3.78,182893,2.78
MKT-00044,9,-2.41,165,343.37,92.11,3892880.44,2.69,207882,3.21
MKT-00045,8,4.5,439,162.59,55.05,3168537.52,2.2,755845,2.12
MKT-00046,9,11.84,171,367.56,70.13,1171355.17,4.51,441659,2.9
MKT-00047,10,14.81,427,188.49,53.38,3765905.27,3.6,134776,3.95
MKT-00048,3,2.59,20,121.38,75.27,3635029.43,3.53,418809,3.94
MKT-00049,7,14.42,302,127.23,87.4,1513423.08,2.32,14669,4.45
MKT-00050,2,1.54,422,173.5,56.24,3992794.08,3.29,272163,3.36
MKT-00051,8,1.45,411,232.87,83.11,2297017.1,2.92,765317,1.61
MKT-00052,6,11.76,391,327.6,70.17,1432851.59,3.62,264570,4.14
MKT-00053,8,13.9,407,379.74,90.66,2097762.71,1.93,218398,3.92
MKT-00054,5,-2.73,271,37.26,81.17,1988493.01,2.65,24727,1.54
MKT-00055,2,5.67,15,39.85,56.87,4971306.91,4.5,345305,4.86
MKT-00056,9,6.1,315,307.39,82.53,2117118.61,4.18,754252,1.22
MKT-00057,5,12.44,10,491.06,87.75,794831.33,3.92,494454,2.75
MKT-00058,10,0.68,419,477.09,80.32,1439728.43,2.33,22582,4.5
MKT-00059,8,6.21,91,484.64,52.52,1401888.03,1.35,665402,2.46
MKT-00060,5,12.01,433,36.57,61.58,3883652.23,4.48,829097,1.5
MKT-00061,6,-1.87,308,245.31,62.67,672509.46,3.41,949896,1.56
MKT-00062,5,-2.28,19,13.53,76.93,3376355.01,4.01,873617,3.42
MKT-00063,4,12.7,250,51.47,59.21,620150.92,1.81,559540,1.85
MKT-00064,3,-0.0,228,259.64,83.64,2830709.64,3.52,221208,3.63
MKT-00065,5,9.56,249,290.98,62.19,727664.83,1.73,834459,1.09
MKT-00066,7,14.37,181,178.05,78.2,2889440.33,1.28,450169,3.72
MKT-00067,9,-3.67,139,100.69,94.2,1187796.51,1.22,319362,4.41
MKT-00068,7,10.1,317,401.99,77.89,4687295.63,4.11,673074,2.48
MKT-00069,3,5.57,346,259.45,88.05,4430187.22,2.26,706688,3.69
MKT-00070,10,8.46,435,218.74,81.92,4613421.88,3.53,688927,4.4
MKT-00071,6,1.63,493,171.25,92.83,4081926.98,3.37,99953,1.29
MKT-00072,1,-2.35,474,19.78,88.22,3891461.6,1.06,169253,4.55
MKT-00073,6,1.65,351,411.91,50.47,757598.64,1.65,114378,1.22
MKT-00074,8,5.56,282,55.49,69.15,1640423.76,2.1,635292,1.04
MKT-00075,5,10.6,479,240.2,73.89,3968858.8,3.59,40243,2.55
MKT-00076,2,9.49,483,323.48,62.44,2426695.01,1.78,720830,1.86
MKT-00077,1,9.79,500,349.5,86.31,3866001.28,3.65,807187,4.04
MKT-00078,9,1.86,444,388.01,85.77,4422807.65,2.91,686380,3.81
MKT-00079,10,9.97,494,378.72,62.59,3153837.67,1.63,389610,4.42
MKT-00080,4,2.04,14,407.05,73.26,1598233.74,1.85,843460,3.99
MKT-00081,9,5.18,211,182.12,77.17,4178389.34,1.17,84878,4.33
MKT-00082,2,0.04,174,71.95,64.44,1288046.39,1.23,53568,2.96
MKT-00083,5,14.57,173,100.97,75.08,3122152.65,2.67,452208,2.73
MKT-00084,7,5.79,413,259.59,93.46,4216409.69,4.22,58734,1.07
MKT-00085,5,-2.89,45,363.41,83.9,1568792.02,1.84,976736,4.73
MKT-00086,7,4.02,333,401.48,53.69,808381.31,1.31,339658,2.49
MKT-00087,8,4.62,327,388.63,62.4,4000621.29,1.37,634801,1.64
MKT-00088,1,12.55,390,139.63,66.92,4088899.89,1.1,711580,1.79
MKT-00089,2,-4.42,379,282.92,51.77,4406084.68,2.74,132334,4.62
MKT-00090,4,0.21,71,30.97,79.92,3186564.62,4.69,27952,3.14
MKT-00091,6,0.96,43,239.06,81.75,2026842.32,1.69,175149,3.86
MKT-00092,10,6.17,500,480.29,68.93,3199268.23,4.16,499032,2.5
MKT-00093,1,4.03,396,261.96,50.16,4449728.69,2.6,884845,2.2
MKT-00094,3,-2.01,173,118.68,79.18,4580037.77,2.45,396811,3.06
MKT-00095,5,-0.64,236,75.33,79.33,1220646.35,1.19,501783,2.3
MKT-00096,5,10.94,355,24.98,57.67,1580225.53,4.35,51825,4.74
MKT-00097,5,-2.96,368,393.48,54.5,832042.27,3.81,702832,2.18
MKT-00098,5,14.56,346,185.52,79.43,166500.23,4.71,236689,4.91
MKT-00099,8,7.18,282,320.68,78.79,2993047.84,4.54,128559,4.94
MKT-00100,9,5.68,290,476.83,58.46,3112400.05,3.96,309104,1.41
MKT-00101,1,8.0,333,61.8,73.41,4372898.35,3.76,126848,1.38
MKT-00102,1,9.83,224,248.13,54.3,4363225.1,3.57,808006,4.64
MKT-00103,3,2.88,279,285.92,89.13,3216030.48,4.3,743096,4.9
MKT-00104,5,12.81,387,323.88,63.99,3537159.86,2.89,366788,2.91
MKT-00105,2,-1.71,345,258.23,74.78,3768940.66,3.72,951021,4.97
MKT-00106,5,-1.94,32,456.31,80.65,116479.02,4.74,86456,4.21
MKT-00107,4,-2.56,50,126.54,65.15,2080722.44,3.37,286100,1.96
MKT-00108,1,11.43,12,167.04,81.11,2788659.34,2.19,579538,1.9
MKT-00109,4,2.67,251,475.26,74.62,1336061.36,2.81,808387,2.8
MKT-00110,8,2.6,359,70.44,78.71,3530536.76,3.44,461966,2.59
MKT-00111,10,-2.75,490,180.04,58.19,1865889.05,4.23,966807,1.8
MKT-00112,2,-3.94,483,57.08,56.43,3067423.64,4.65,180293,1.36
MKT-00113,1,11.66,361,31.34,89.28,597406.77,1.97,91499,3.86
MKT-00114,5,6.49,307,437.28,56.53,1894785.05,2.53,82083,3.38
MKT-00115,8,11.45,145,493.92,59.86,4745159.89,1.58,494689,4.04
MKT-00116,4,-0.31,210,167.35,72.23,3893215.59,2.73,720794,4.63
MKT-00117,5,-3.09,444,140.81,86.79,1622694.69,1.26,338395,4.64
MKT-00118,10,12.7,405,18.75,55.98,1893202.39,3.51,729214,1.68
MKT-00119,2,8.4,340,456.92,55.28,4080558.27,3.63,470985,3.24
MKT-00120,6,13.53,56,207.91,61.46,1576918.62,2.69,970665,1.84
MKT-00121,5,-4.11,46,279.39,85.03,3728685.52,3.23,132341,2.14
MKT-00122,1,11.54,297,125.88,84.89,3139635.6,4.14,630518,4.67
MKT-00123,1,13.55,423,46.61,86.17,429270.22,1.66,583697,4.49
MKT-00124,2,2.54,291,63.54,50.82,2280018.57,3.68,394094,3.03
MKT-00125,4,0.54,153,403.76,93.0,1634707.49,4.51,100919,2.63
MKT-00126,4,11.94,393,158.05,73.38,4731087.96,2.3,34465,1.83
MKT-00127,6,3.81,439,211.69,66.74,1244412.37,3.79,4563,3.57
MKT-00128,1,-4.67,392,281.11,64.24,1752003.71,2.7,523682,1.63
MKT-00129,2,9.7,383,212.23,76.3,437898.82,1.73,771046,3.84
MKT-00130,7,-1.4,318,96.63,50.29,2102114.02,3.53,756396,3.88
MKT-00131,7,7.06,440,272.07,74.15,4019391.38,2.59,640441,1.5
MKT-00132,5,12.36,126,479.53,94.73,3333388.59,2.05,893234,1.73
MKT-00133,2,3.48,425,391.29,64.19,1418179.09,4.17,899404,2.7
MKT-00134,6,4.26,199,471.0,83.05,79959.24,1.55,862166,3.07
MKT-00135,2,9.04,57,498.99,54.02,4744255.98,4.21,590429,3.88
MKT-00136,8,1.58,240,372.87,86.99,4553077.88,1.85,115518,3.53
MKT-00137,8,4.6,69,309.56,61.92,1943426.03,4.65,504099,4.11
MKT-00138,5,4.59,32,58.76,67.24,917743.52,4.92,661797,4.1
MKT-00139,8,2.02,218,412.73,59.36,2356244.55,1.38,562739,2.8
MKT-00140,5,3.99,108,385.43,91.65,2404362.49,4.28,743511,3.59
MKT-00141,10,-1.14,248,472.55,56.25,3851974.61,2.57,139665,4.79
MKT-00142,8,3.74,136,353.98,88.8,3485451.48,2.05,947841,2.88
MKT-00143,5,13.4,110,42.97,69.88,2775517.61,3.21,311981,3.99
MKT-00144,1,-1.2,292,315.96,80.7,523411.03,4.61,937270,2.54
MKT-00145,9,14.82,181,327.62,67.13,129697.63,2.7,918518,4.72
MKT-00146,5,0.55,12,437.4,89.02,3184608.92,3.02,345563,1.13
MKT-00147,6,1.51,124,42.04,90.21,3536597.97,4.61,64806,2.34
MKT-00148,10,2.6,110,220.97,57.19,3103548.02,4.04,136362,1.02
MKT-00149,3,3.41,476,414.03,89.03,4506692.68,1.85,924854,2.64
MKT-00150,7,11.42,119,299.37,78.94,4771870.48,1.9,595386,2.67
MKT-00151,2,-3.01,150,100.68,63.75,4411312.62,3.4,312798,2.64
MKT-00152,7,14.89,50,230.43,69.51,2370478.3,1.46,56870,2.61
MKT-00153,8,1.71,145,419.74,63.9,2139351.9,2.44,40252,4.4
MKT-00154,10,14.59,403,263.15,77.33,3012382.86,2.27,662790,3.49
MKT-00155,6,6.49,422,234.89,74.51,3859774.65,1.24,521231,2.11
MKT-00156,8,3.57,435,446.32,75.64,2095302.71,3.47,781547,2.55
MKT-00157,9,-4.87,176,465.48,56.88,1961843.32,2.49,330851,1.67
MKT-00158,8,6.6,398,466.4,91.37,4354701.86,1.75,815089,1.67
MKT-00159,8,6.44,244,367.97,91.77,2931193.34,3.98,114285,4.85
MKT-00160,6,-3.93,199,375.29,94.58,1265467.7,4.67,372678,4.13
MKT-00161,7,3.4,164,51.38,68.7,3011270.91,2.31,478449,4.9
MKT-00162,7,3.62,176,415.65,94.6,2818200.85,3.12,135941,2.65
MKT-00163,1,13.97,445,324.39,81.2,2265824.65,3.59,677180,3.06
MKT-00164,6,12.57,496,344.99,74.38,1797619.73,2.14,861656,2.6
MKT-00165,9,6.22,476,197.85,81.19,1562744.91,1.6,461796,4.79
MKT-00166,10,10.05,123,365.24,58.6,4184145.52,2.96,969140,4.14
MKT-00167,7,-4.74,237,279.82,78.86,2565901.42,3.87,862448,4.78
MKT-00168,10,4.7,479,216.48,75.24,1942172.3,1.38,482696,4.0
MKT-00169,5,14.83,235,302.62,53.35,642597.44,2.83,392425,1.99
MKT-00170,4,9.16,440,163.87,59.51,634859.2,4.38,257460,3.91
MKT-00171,3,3.85,83,107.74,76.35,865270.37,2.14,393081,4.81
MKT-00172,5,14.2,165,48.31,78.44,3154360.84,1.38,763753,1.15
MKT-00173,5,1.34,264,450.8,77.98,4347083.58,2.61,141508,4.82
MKT-00174,4,5.65,216,361.03,85.78,1286898.81,3.97,639413,5.0
MKT-00175,5,6.02,104,417.54,52.11,3821775.7,1.57,47331,1.35
MKT-00176,6,7.54,184,52.58,73.13,1411213.48,4.1,718916,1.95
MKT-00177,7,6.63,12,89.6,52.38,1620236.61,3.11,899330,2.21
MKT-00178,1,5.48,90,173.28,65.27,380835.38,2.76,590097,2.74
MKT-00179,10,14.8,63,413.77,78.49,4248002.75,3.94,963239,4.74
MKT-00180,2,0.48,276,293.05,53.48,3890767.02,1.25,172183,4.18
MKT-00181,3,10.38,90,21.62,56.01,1065032.02,3.16,59446,1.34
MKT-00182,10,3.25,87,222.12,76.82,1070259.83,3.34,13386,2.54
MKT-00183,10,-0.34,428,25.32,73.39,2224393.01,2.99,254502,3.91
MKT-00184,7,11.66,26,97.84,78.61,2500758.63,4.43,676074,1.91
MKT-00185,8,11.88,468,422.71,90.53,2718038.8,4.7,837050,3.9
MKT-00186,1,2.84,83,315.53,63.98,3812530.16,3.76,284911,1.82
MKT-00187,9,0.61,195,97.12,84.1,4755391.94,2.82,843712,1.82
MKT-00188,4,-0.81,388,323.47,79.33,1488722.08,2.34,847599,1.07
MKT-00189,3,10.86,120,39.89,87.3,679953.96,2.06,511271,2.78
MKT-00190,9,-3.74,193,257.12,54.67,1265528.75,4.84,401369,3.4
MKT-00191,4,3.93,258,389.39,52.45,2128955.53,2.72,617803,1.76
MKT-00192,9,4.44,293,65.34,67.92,1401451.42,2.77,393835,1.19
MKT-00193,2,1.29,226,49.83,73.93,2184820.4,3.57,254911,1.68
MKT-00194,10,4.91,62,216.17,64.02,2946439.32,4.56,349218,4.22
MKT-00195,4,3.52,403,399.04,74.47,1286853.27,2.02,471563,3.3
MKT-00196,10,-3.25,100,317.48,91.42,1761666.11,3.22,19638,1.73
MKT-00197,6,7.81,493,21.47,76.65,3045634.94,4.55,859722,3.04
MKT-00198,4,12.25,63,250.37,71.74,260013.66,1.83,633217,4.89
MKT-00199,4,0.79,195,340.77,72.92,65800.43,3.33,594499,2.43
MKT-00200,3,11.5,196,265.37,82.43,4397113.05,3.38,241984,2.54
MKT-00201,2,0.34,362,74.34,73.22,843961.06,1.86,583509,1.43
MKT-00202,1,14.04,325,498.96,55.05,3437683.66,1.46,172312,3.85
MKT-00203,1,0.1,329,483.63,58.61,4558751.64,4.94,751037,1.99
MKT-00204,4,4.0,198,185.84,62.28,4425032.37,2.12,612926,1.04
MKT-00205,2,4.1,259,408.97,92.56,4081763.22,3.44,898406,2.85
MKT-00206,8,10.19,84,443.43,58.25,4091599.19,2.67,715943,3.29
MKT-00207,7,6.59,354,139.04,76.48,3411539.82,1.42,75183,3.61
MKT-00208,7,7.19,422,129.34,66.84,2616974.63,4.33,179825,2.12
MKT-00209,4,-0.95,265,454.3,54.96,2735744.0,3.69,302642,2.42
MKT-00210,8,1.85,415,92.97,82.91,1204083.44,1.27,833766,2.66
MKT-00211,5,10.79,482,337.98,75.84,2082264.08,2.33,436470,1.15
MKT-00212,6,0.8,236,103.77,73.87,2941805.79,1.25,301789,4.17
MKT-00213,1,7.75,489,288.33,66.67,648672.2,2.26,440503,1.07
MKT-00214,10,9.11,314,160.63,55.45,875757.01,3.54,918347,2.45
MKT-00215,7,8.22,135,331.18,81.73,4619736.32,4.45,576076,3.56
MKT-00216,1,11.01,60,184.75,67.98,317474.73,1.49,936296,4.95
MKT-00217,1,13.47,475,473.79,78.21,1019552.91,2.75,156922,3.81
MKT-00218,10,-2.8,49,365.51,66.34,275496.01,4.25,954022,4.76
MKT-00219,5,5.23,268,190.34,57.62,1754389.34,1.36,54977,3.3
MKT-00220,7,2.81,376,264.7,59.18,3913373.45,4.1,158600,4.09
MKT-00221,1,-0.99,90,334.82,86.06,3876880.03,4.7,688122,4.87
MKT-00222,1,13.41,269,132.39,94.56,5407.38,2.9,671868,4.14
MKT-00223,2,-1.16,27,118.03,65.93,558462.02,2.66,545891,2.53
MKT-00224,9,3.9,471,86.25,65.33,2517479.18,4.92,75956,4.4
MKT-00225,2,3.04,269,348.23,60.11,698105.49,3.66,238782,2.55
MKT-00226,8,7.99,82,328.31,73.24,302030.41,1.33,794073,2.59
MKT-00227,9,5.85,222,45.13,65.22,4777243.38,2.64,765446,4.57
MKT-00228,10,2.32,204,472.81,79.82,4193574.35,3.08,665619,3.26
MKT-00229,4,9.62,89,117.16,76.81,1664086.24,2.81,517787,3.38
MKT-00230,6,-4.52,70,258.62,56.01,2670962.1,2.24,870565,3.77
MKT-00231,10,0.05,424,48.13,66.83,299343.48,2.19,773679,1.25
MKT-00232,8,3.33,198,204.79,61.11,4905107.72,1.02,137177,1.91
MKT-00233,7,12.24,321,275.13,68.83,1747191.21,4.5,367592,1.52
MKT-00234,9,6.97,207,307.28,62.03,1037720.42,1.11,361340,4.9
MKT-00235,10,14.15,485,122.36,58.51,1400734.33,2.82,493812,1.25
MKT-00236,3,5.65,375,134.7,86.27,4865563.27,2.81,556325,3.72
MKT-00237,3,13.01,176,150.72,89.54,2509441.64,1.47,654394,2.44
MKT-00238,9,10.62,162,199.14,64.39,4860746.57,2.51,361959,5.0
MKT-00239,8,0.67,98,305.8,93.18,703149.64,4.39,566389,2.52
MKT-00240,6,8.56,342,128.71,77.37,4490731.2,4.99,707105,4.18
MKT-00241,1,8.03,358,236.3,60.06,4123227.84,2.32,362607,3.84
MKT-00242,8,-0.9,191,366.33,68.41,4888079.16,1.86,926234,3.85
MKT-00243,9,5.21,309,182.76,55.49,1301590.77,1.22,959741,2.92
MKT-00244,7,11.1,212,376.18,77.58,1113225.54,2.4,68050,2.19
MKT-00245,5,-2.13,455,91.67,61.72,2371267.52,4.67,548495,4.94
MKT-00246,6,1.1,360,469.75,68.49,4211037.34,4.21,207161,3.29
MKT-00247,5,9.73,400,497.05,78.07,394480.83,2.79,363856,1.23
MKT-00248,7,4.74,254,365.53,70.86,2519707.7,4.24,117822,2.68
MKT-00249,1,8.43,432,34.4,67.38,2697199.81,4.96,436404,1.11
MKT-00250,2,10.92,185,133.9,71.3,1760188.09,2.11,370633,2.77
MKT-00251,1,2.96,30,168.16,73.04,1174399.18,3.95,534847,1.61
MKT-00252,4,-0.81,293,440.89,84.96,1887475.37,1.37,274805,4.16
MKT-00253,7,5.52,425,20.89,92.82,1072436.89,1.15,460452,2.06
MKT-00254,5,3.55,321,433.84,81.81,3360561.56,2.15,696931,1.65
MKT-00255,2,-3.38,384,30.75,73.26,463355.59,2.0,176439,2.99
MKT-00256,1,1.98,21,80.02,50.57,3476752.2,3.91,695314,2.46
MKT-00257,5,9.69,302,292.33,94.05,3875299.16,4.89,64761,4.15
MKT-00258,4,-3.74,85,385.84,76.35,1503311.17,4.49,996265,3.96
MKT-00259,5,13.6,204,390.26,51.23,596257.39,1.55,473254,3.72
MKT-00260,1,7.14,232,205.86,86.09,827171.56,2.02,368421,2.59
MKT-00261,8,7.46,372,296.37,62.88,3683905.57,1.53,70761,1.15
MKT-00262,1,2.36,387,20.11,86.38,2498872.98,3.07,639235,4.37
MKT-00263,7,-1.8,214,486.13,50.96,3592967.75,4.22,35271,1.24
MKT-00264,5,6.0,129,196.69,84.12,4220148.42,1.54,129172,4.27
MKT-00265,3,1.8,36,256.37,59.26,944331.96,3.44,218065,4.79
MKT-00266,8,3.19,292,485.3,82.58,3874491.47,1.8,509947,3.83
MKT-00267,6,2.5,85,479.54,52.31,3689262.5,3.51,332779,3.7
MKT-00268,7,-3.9,278,415.93,56.06,3111050.09,4.87,495861,2.98
MKT-00269,7,6.48,240,114.87,93.13,4720183.9,1.7,872619,4.78
MKT-00270,1,2.87,341,29.39,83.84,2053379.2,2.74,702605,4.78
MKT-00271,4,5.39,155,498.42,67.98,1511330.79,3.15,160822,1.57
MKT-00272,2,12.01,44,379.95,53.05,3251351.68,4.0,403336,4.24
MKT-00273,3,14.02,449,30.6,84.9,3953130.24,1.52,582841,3.07
MKT-00274,4,5.38,303,82.67,94.52,911620.44,4.69,58458,2.15
MKT-00275,9,6.87,199,16.51,67.09,1856090.6,2.31,170418,1.13
MKT-00276,7,6.42,374,322.17,51.86,2032285.59,3.41,902696,4.74
MKT-00277,7,5.85,110,226.71,81.88,3897919.99,2.46,856279,1.57
MKT-00278,10,14.46,247,218.57,87.7,855707.08,4.81,926087,3.19
MKT-00279,2,-0.36,206,199.65,93.33,3047530.5,1.17,785516,1.56
MKT-00280,9,-3.57,119,432.94,76.94,1356435.67,1.6,653926,4.71
MKT-00281,3,11.04,146,129.34,56.18,3856953.7,1.25,183863,1.37
MKT-00282,3,4.86,261,228.49,67.48,2061663.97,1.23,714743,1.81
MKT-00283,9,14.87,135,407.63,63.91,1930738.47,2.09,339828,1.3
MKT-00284,7,6.41,322,375.57,75.63,1633991.17,2.41,271942,4.4
MKT-00285,1,-0.49,377,282.22,81.39,1627639.37,2.12,562698,4.68
MKT-00286,9,-1.06,286,160.04,51.2,482250.63,4.62,11899,1.78
MKT-00287,6,4.17,475,280.54,65.68,2173933.95,4.26,569654,1.47
MKT-00288,7,3.98,222,410.99,78.4,223363.36,4.86,487173,3.29
MKT-00289,8,8.43,110,171.86,77.32,2405029.76,4.29,810488,4.05
MKT-00290,2,-0.47,357,360.28,62.66,4179186.09,1.93,375301,1.23
MKT-00291,6,-0.33,167,414.0,72.48,1220172.72,4.36,604336,1.13
MKT-00292,6,10.26,259,174.34,51.37,71778.87,3.26,164736,1.9
MKT-00293,10,0.52,229,377.68,73.33,161432.59,4.47,320521,3.08
MKT-00294,10,-0.76,45,93.77,84.11,928021.55,3.78,60731,3.13
MKT-00295,8,9.67,392,310.07,90.07,2111144.14,1.13,475808,3.19
MKT-00296,6,14.67,471,276.09,62.34,3689007.95,1.07,487723,1.53
MKT-00297,8,8.52,216,398.38,80.64,588521.68,2.79,513088,3.58
MKT-00298,10,11.19,250,256.3,76.05,3439456.92,1.87,998277,1.66
MKT-00299,9,5.15,47,18.41,93.82,4647168.31,1.97,535385,3.5
MKT-00300,9,12.53,460,121.55,77.19,4155890.79,1.75,515363,1.61
MKT-00301,1,8.28,481,248.41,86.28,2382569.11,3.48,766017,4.76
MKT-00302,8,-1.11,107,217.26,50.76,2078261.49,2.07,985166,4.5
MKT-00303,8,7.49,108,308.38,73.15,1744496.19,1.65,401665,3.8
MKT-00304,8,9.54,5,165.7,86.22,2797783.02,3.95,25286,1.95
MKT-00305,7,5.35,415,209.39,78.52,1324300.91,4.52,408211,2.3
MKT-00306,10,13.76,177,429.96,73.71,3792766.49,4.1,884084,3.69
MKT-00307,9,-1.93,211,336.88,56.31,3049499.42,2.95,747617,3.75
MKT-00308,8,10.88,122,121.56,63.09,973518.99,4.27,810719,3.39
MKT-00309,5,12.8,327,95.23,76.96,3057733.17,2.5,929127,3.48
MKT-00310,5,1.3,425,360.5,82.99,887945.21,4.8,446953,1.71
MKT-00311,2,-1.11,497,363.41,65.57,1869689.39,4.89,595557,4.9
MKT-00312,3,-4.48,153,86.18,53.25,448240.44,3.38,801079,4.28
MKT-00313,8,11.9,473,368.24,57.12,1063020.04,1.37,320424,1.32
MKT-00314,1,4.85,248,444.33,85.71,2919823.48,4.31,388673,2.23
MKT-00315,5,2.34,287,92.54,84.13,1416264.48,1.55,588658,2.56
MKT-00316,1,11.53,224,276.66,91.78,3343925.26,1.03,757424,4.5
MKT-00317,7,1.17,35,100.15,84.62,102194.96,4.8,748981,2.84
MKT-00318,3,8.9,115,309.02,54.8,2875485.98,4.74,362847,2.94
MKT-00319,5,10.65,304,174.45,90.77,4183173.63,1.25,343479,2.22
MKT-00320,8,0.56,385,109.54,53.72,965891.47,3.46,498840,2.31
MKT-00321,4,-2.4,499,15.88,73.87,621250.14,1.18,117907,2.2
MKT-00322,9,10.67,248,188.2,78.07,3064454.42,3.62,47763,1.48
MKT-00323,9,3.22,447,5.45,88.71,136085.87,2.47,940847,2.73
MKT-00324,5,-4.41,322,139.67,66.49,3277421.02,1.93,336035,2.48
MKT-00325,3,7.88,266,98.93,61.24,4740423.84,4.72,334755,4.03
MKT-00326,2,-0.92,115,131.58,57.3,603670.36,2.76,596866,3.6
MKT-00327,6,4.26,349,33.59,89.81,3607207.07,1.49,985031,2.48
MKT-00328,2,5.82,372,77.52,53.21,4605915.96,1.97,361354,3.27
MKT-00329,6,10.23,443,413.91,91.86,4757541.29,3.77,189113,3.51
MKT-00330,9,-3.24,29,376.93,60.84,3149561.13,2.56,59102,4.04
MKT-00331,9,2.17,182,413.37,79.98,2506353.46,4.32,949570,4.23
MKT-00332,9,-4.59,278,296.79,64.38,4599675.29,2.01,986661,1.93
MKT-00333,4,-1.85,99,254.36,69.54,2860866.45,4.59,786146,2.59
MKT-00334,8,0.68,38,172.6,52.31,597143.52,2.53,435206,1.48
MKT-00335,2,-0.41,31,445.92,58.84,2775713.39,4.28,661008,1.07
MKT-00336,1,-4.09,334,465.05,83.06,2070936.92,4.75,945642,1.35
MKT-00337,10,2.91,107,190.41,69.57,4462633.45,3.75,202931,3.84
MKT-00338,9,14.83,421,233.74,68.51,683114.0,4.96,427255,3.56
MKT-00339,4,14.54,116,50.79,68.91,147625.13,2.79,577563,1.86
MKT-00340,5,12.52,17,478.15,69.61,430932.13,2.01,848600,4.24
MKT-00341,7,3.78,72,345.51,86.72,4987361.34,4.76,62072,4.79
MKT-00342,6,5.06,468,498.66,84.5,1477033.87,3.59,37697,4.66
MKT-00343,3,13.15,51,123.83,62.11,1704940.0,1.74,424128,4.5
MKT-00344,9,12.06,453,198.37,80.57,2776268.56,3.67,147129,3.55
MKT-00345,6,0.78,488,210.9,58.38,635123.69,1.26,102763,2.02
MKT-00346,3,5.12,276,148.88,86.21,3820505.74,1.52,768416,3.77
