Customer_ID,Net_Worth,Annual_Income,Risk_Appetite,Primary_Investment,Secondary_Investment,Savings_Percentage,Debt_to_Income_Ratio,Retirement_Fund,Preferred_Advisor
CUSTW-00026,2228288.41,135007.78,Moderate,Savings,Stocks,30.71,0.99,971867.27,None
CUSTW-00027,1865216.09,91680.99,High,Gold,Bonds,33.81,0.03,129408.61,Robo-Advisor
CUSTW-00028,1596125.36,295357.39,High,Cryptocurrency,Stocks,23.21,0.87,457600.24,Robo-Advisor
CUSTW-00029,3991911.44,499806.25,Moderate,Savings,Real Estate,49.0,0.23,482673.7,None
CUSTW-00030,4805949.48,368636.09,Moderate,Cryptocurrency,Bonds,21.56,0.35,572125.9,Robo-Advisor
CUSTW-00031,755865.75,42163.0,High,Mutual Funds,Real Estate,43.41,0.7,436334.99,Human Financial Advisor
CUSTW-00032,241298.3,206190.84,High,Bonds,Gold,11.41,0.43,349881.71,Robo-Advisor
CUSTW-00033,1197109.13,69907.46,Low,Cryptocurrency,Gold,5.59,0.33,688634.36,Robo-Advisor
CUSTW-00034,3987674.53,298484.63,High,Real Estate,Mutual Funds,7.27,0.93,691209.75,None
CUSTW-00035,2938982.4,133228.65,Low,Savings,Cryptocurrency,21.47,0.99,337763.63,None
CUSTW-00036,123254.64,408469.79,Low,Bonds,Mutual Funds,32.31,0.49,939809.32,Human Financial Advisor
CUSTW-00037,4898100.48,415549.9,Low,Gold,Savings,19.4,0.68,642641.66,None
CUSTW-00038,4060276.89,367443.95,High,Gold,Real Estate,41.74,0.85,255143.07,Human Financial Advisor
CUSTW-00039,2162716.73,349861.72,Low,Savings,Real Estate,19.34,0.37,328490.16,Robo-Advisor
CUSTW-00040,3840132.07,390595.51,Moderate,Bonds,Savings,24.74,0.96,358136.85,None
CUSTW-00041,3386964.92,153437.93,Moderate,Real Estate,Stocks,6.9,0.55,316177.75,Human Financial Advisor
CUSTW-00042,383663.7,229182.83,Moderate,Mutual Funds,Real Estate,32.13,0.85,297724.44,Human Financial Advisor
CUSTW-00043,2111872.49,203026.19,High,Mutual Funds,Real Estate,28.25,0.72,505232.75,Robo-Advisor
CUSTW-00044,3138097.26,397043.02,Low,Stocks,Cryptocurrency,33.45,0.24,915069.38,None
CUSTW-00045,4480241.47,340404.77,Moderate,Mutual Funds,Cryptocurrency,44.69,0.55,296404.12,Robo-Advisor
CUSTW-00046,1471428.32,487135.03,Moderate,Cryptocurrency,Bonds,13.61,0.3,908555.19,Human Financial Advisor
CUSTW-00047,2023534.53,492394.16,Low,Mutual Funds,Cryptocurrency,49.76,0.22,880690.09,Robo-Advisor
CUSTW-00048,2791363.86,161398.62,Low,Mutual Funds,Stocks,31.16,0.29,805522.24,None
CUSTW-00049,876281.88,167712.78,Moderate,Stocks,Savings,23.62,0.82,910929.88,Robo-Advisor
CUSTW-00050,4387734.51,342488.46,Moderate,Savings,Real Estate,5.01,0.93,622971.74,Robo-Advisor
CUSTW-00051,191682.98,150880.65,Moderate,Stocks,Gold,17.07,0.16,357597.7,Robo-Advisor
CUSTW-00052,3565542.53,43637.29,Low,Stocks,Real Estate,27.08,0.28,756874.23,None
CUSTW-00053,1692827.85,244105.6,Low,Cryptocurrency,Stocks,24.45,0.46,50875.11,Human Financial Advisor
CUSTW-00054,4305841.74,103318.06,Moderate,Real Estate,Bonds,27.44,0.9,922610.99,Human Financial Advisor
CUSTW-00055,4048756.24,269537.16,Low,Savings,Real Estate,39.18,0.72,953789.15,Robo-Advisor
CUSTW-00056,445264.48,106462.69,Low,Savings,Bonds,45.28,0.33,994342.96,Robo-Advisor
CUSTW-00057,3820198.66,103385.47,Low,Stocks,Savings,14.65,0.49,404794.13,None
CUSTW-00058,861994.81,122527.55,Moderate,Stocks,Mutual Funds,39.73,0.54,924020.42,Human Financial Advisor
CUSTW-00059,2516725.68,172488.91,High,Cryptocurrency,Savings,23.03,0.26,643768.26,Human Financial Advisor
CUSTW-00060,1538319.68,360568.81,Moderate,Stocks,Bonds,42.08,0.13,234393.31,None
CUSTW-00061,3371230.23,392333.8,High,Mutual Funds,Savings,6.16,0.96,569157.4,None
CUSTW-00062,2306789.6,110231.61,Low,Savings,Cryptocurrency,33.7,0.83,123873.86,Human Financial Advisor
CUSTW-00063,1536404.15,209730.39,Low,Savings,Stocks,36.87,0.61,215276.98,None
CUSTW-00064,2934095.84,492003.77,High,Cryptocurrency,Real Estate,29.78,0.52,922388.95,None
CUSTW-00065,4486450.83,264259.49,Moderate,Real Estate,Bonds,39.12,0.33,854821.61,Robo-Advisor
CUSTW-00066,77400.2,477885.16,High,Bonds,Mutual Funds,9.33,0.74,837940.93,None
CUSTW-00067,4901327.08,192358.89,High,Savings,Real Estate,45.4,0.3,571958.41,Robo-Advisor
CUSTW-00068,3742609.75,32092.06,Low,Bonds,Savings,8.17,0.84,865023.43,Human Financial Advisor
CUSTW-00069,263720.41,420154.29,High,Bonds,Mutual Funds,21.77,0.07,216355.23,None
CUSTW-00070,2753395.5,415319.45,Moderate,Mutual Funds,Bonds,19.33,0.33,580619.87,Human Financial Advisor
CUSTW-00071,3451180.17,126710.35,Low,Mutual Funds,Gold,23.0,0.87,854331.57,None
CUSTW-00072,451534.57,304228.29,Moderate,Cryptocurrency,Bonds,5.96,0.87,313103.42,Human Financial Advisor
CUSTW-00073,3406050.7,76919.61,High,Stocks,Real Estate,48.35,0.02,155529.76,None
CUSTW-00074,3457881.39,89505.91,Moderate,Mutual Funds,Savings,38.04,0.24,882932.07,Robo-Advisor
CUSTW-00075,4860688.62,181431.37,Low,Savings,Bonds,28.37,0.86,824039.53,Robo-Advisor
CUSTW-00076,4161337.71,83360.36,Moderate,Stocks,Cryptocurrency,38.03,0.35,888880.17,None
CUSTW-00077,2539713.27,43297.14,High,Mutual Funds,Cryptocurrency,28.79,0.88,108320.61,None
CUSTW-00078,4538414.81,372988.16,High,Mutual Funds,Cryptocurrency,31.91,0.35,167968.1,None
CUSTW-00079,3687227.65,441480.76,Low,Savings,Real Estate,31.15,0.81,730752.33,Robo-Advisor
CUSTW-00080,4362538.49,357875.7,Moderate,Real Estate,Savings,24.99,0.51,545908.6,None
CUSTW-00081,3019683.89,101526.14,Low,Gold,Real Estate,44.05,0.85,627348.56,Human Financial Advisor
CUSTW-00082,3771996.74,357064.51,Moderate,Bonds,Mutual Funds,21.82,0.51,155639.49,None
CUSTW-00083,4868024.68,220669.14,Low,Stocks,Savings,36.77,0.95,709663.65,Human Financial Advisor
CUSTW-00084,4674397.61,318519.24,Moderate,Mutual Funds,Savings,30.18,0.23,701695.73,Human Financial Advisor
CUSTW-00085,3043591.81,405683.16,High,Gold,Cryptocurrency,43.18,0.86,617411.57,None
CUSTW-00086,1732710.12,381244.39,Moderate,Bonds,Stocks,44.39,0.74,558641.16,Human Financial Advisor
CUSTW-00087,2576289.01,246960.81,High,Bonds,Real Estate,38.54,0.59,979784.42,None
CUSTW-00088,3092263.49,397546.01,High,Real Estate,Bonds,8.92,0.71,840099.5,Human Financial Advisor
CUSTW-00089,4733479.93,250250.75,High,Mutual Funds,Bonds,17.9,0.19,623019.12,Human Financial Advisor
CUSTW-00090,4154029.93,381728.42,Low,Real Estate,Mutual Funds,30.23,0.22,757466.4,Human Financial Advisor
CUSTW-00091,4268236.03,325505.55,Low,Mutual Funds,Gold,31.1,0.63,23280.42,None
CUSTW-00092,2347180.25,343707.09,High,Mutual Funds,Bonds,29.5,0.45,936671.48,Human Financial Advisor
CUSTW-00093,1869577.45,436604.34,Low,Gold,Stocks,32.28,0.09,624513.81,Robo-Advisor
CUSTW-00094,1796558.47,299976.38,Moderate,Bonds,Mutual Funds,30.82,0.15,96518.71,None
CUSTW-00095,4888731.81,321138.91,Low,Mutual Funds,Real Estate,10.4,0.66,980253.79,Robo-Advisor
CUSTW-00096,1024988.87,313859.37,Low,Gold,Stocks,21.0,0.68,509720.08,None
CUSTW-00097,2164900.32,185405.34,Moderate,Savings,Bonds,27.83,0.43,18451.78,Human Financial Advisor
CUSTW-00098,4490959.86,498716.92,Low,Savings,Bonds,23.94,0.2,589190.95,Human Financial Advisor
CUSTW-00099,2440795.67,257521.87,High,Gold,Mutual Funds,33.96,0.51,722096.45,Human Financial Advisor
CUSTW-00100,3412462.26,365006.21,High,Real Estate,Cryptocurrency,28.51,0.47,69527.82,None
CUSTW-00101,484811.61,461756.96,Low,Bonds,Stocks,9.91,0.55,247151.46,Robo-Advisor
CUSTW-00102,3457510.26,291012.58,Low,Mutual Funds,Savings,38.26,0.34,276504.07,Robo-Advisor
CUSTW-00103,2504749.24,362916.29,Moderate,Mutual Funds,Stocks,19.66,0.04,162531.92,Robo-Advisor
CUSTW-00104,1460886.76,345350.45,Moderate,Mutual Funds,Savings,34.01,0.94,728990.2,Robo-Advisor
CUSTW-00105,4461856.9,146602.44,Moderate,Real Estate,Savings,22.38,0.27,981329.01,Robo-Advisor
CUSTW-00106,3159779.76,344252.89,Low,Cryptocurrency,Savings,45.84,0.05,734329.69,Robo-Advisor
CUSTW-00107,1674525.99,317243.77,Moderate,Savings,Bonds,7.51,0.55,33281.8,Human Financial Advisor
CUSTW-00108,117343.84,239499.13,High,Real Estate,Mutual Funds,43.26,0.9,942205.62,None
CUSTW-00109,4087517.03,443483.9,Low,Real Estate,Gold,45.9,0.85,314607.43,None
CUSTW-00110,4539038.96,169975.22,High,Cryptocurrency,Real Estate,7.93,0.9,827384.59,Human Financial Advisor
CUSTW-00111,457167.89,64966.62,Low,Savings,Cryptocurrency,13.09,0.27,422210.08,Human Financial Advisor
CUSTW-00112,4166949.51,385119.32,High,Cryptocurrency,Stocks,49.33,0.94,663577.96,Robo-Advisor
CUSTW-00113,3936757.67,126028.11,Moderate,Savings,Stocks,40.86,0.3,790497.39,None
CUSTW-00114,3407172.24,111573.72,Moderate,Mutual Funds,Stocks,36.02,0.89,369691.33,Robo-Advisor
CUSTW-00115,3349492.64,430243.85,High,Real Estate,Mutual Funds,46.17,0.95,422948.23,None
CUSTW-00116,650080.71,134288.17,Moderate,Gold,Bonds,5.97,0.47,633751.62,Human Financial Advisor
CUSTW-00117,3170947.78,257992.88,Low,Bonds,Stocks,39.56,0.73,14275.61,Robo-Advisor
CUSTW-00118,3275098.76,493594.93,Low,Gold,Real Estate,38.02,0.25,457978.82,None
CUSTW-00119,2203161.55,311610.3,Moderate,Stocks,Real Estate,36.23,0.31,421299.75,None
CUSTW-00120,663519.45,333223.34,High,Mutual Funds,Savings,48.94,0.53,626266.23,Human Financial Advisor
CUSTW-00121,4315790.68,158109.47,Moderate,Mutual Funds,Savings,32.38,0.49,851660.05,Human Financial Advisor
CUSTW-00122,2948526.89,324577.91,Moderate,Gold,Bonds,31.41,0.26,215309.02,None
CUSTW-00123,3596506.87,212336.73,High,Savings,Mutual Funds,14.48,0.11,112858.81,Robo-Advisor
CUSTW-00124,4788971.68,34530.78,Moderate,Stocks,Gold,20.87,0.36,101231.73,None
CUSTW-00125,1925513.93,55300.89,Low,Savings,Mutual Funds,5.52,0.79,470840.32,None
CUSTW-00126,737966.67,123905.28,High,Mutual Funds,Savings,10.24,0.55,708873.0,Robo-Advisor
CUSTW-00127,4781811.29,169507.61,Low,Cryptocurrency,Stocks,38.6,0.73,433404.76,Human Financial Advisor
CUSTW-00128,3290435.72,264064.58,Low,Gold,Stocks,39.22,0.13,27061.82,Human Financial Advisor
CUSTW-00129,1275603.69,430052.08,High,Mutual Funds,Stocks,27.32,0.29,332634.47,Robo-Advisor
CUSTW-00130,1482036.98,342244.14,Moderate,Cryptocurrency,Bonds,41.0,0.71,267906.17,Robo-Advisor
CUSTW-00131,4350681.26,60797.36,Low,Gold,Real Estate,37.18,0.57,454875.93,Human Financial Advisor
CUSTW-00132,775863.17,220661.97,Low,Cryptocurrency,Real Estate,16.68,0.03,449947.81,None
CUSTW-00133,997433.77,204001.49,Low,Real Estate,Mutual Funds,45.45,0.25,758278.19,Human Financial Advisor
CUSTW-00134,1395332.69,239300.91,High,Savings,Bonds,8.78,0.83,428089.38,None
CUSTW-00135,1793686.38,70403.64,Moderate,Real Estate,Stocks,5.76,0.08,545190.18,Human Financial Advisor
CUSTW-00136,2678130.1,104171.42,Low,Stocks,Mutual Funds,28.3,0.1,98825.31,Robo-Advisor
CUSTW-00137,2766758.4,55401.99,Low,Bonds,Savings,41.17,0.77,625066.78,Human Financial Advisor
CUSTW-00138,3021926.72,321319.21,High,Savings,Gold,20.34,0.06,517582.13,None
CUSTW-00139,985409.94,91248.11,Moderate,Gold,Cryptocurrency,41.06,0.61,816316.04,Robo-Advisor
CUSTW-00140,2718641.56,61718.44,Low,Bonds,Stocks,30.48,0.2,675882.68,Robo-Advisor
CUSTW-00141,4431448.71,157998.53,Moderate,Savings,Mutual Funds,25.68,0.07,320949.24,Human Financial Advisor
CUSTW-00142,1557709.4,322903.29,Low,Mutual Funds,Gold,42.15,0.78,912190.6,Robo-Advisor
CUSTW-00143,913245.26,219034.46,Moderate,Savings,Bonds,17.52,0.34,314532.07,Robo-Advisor
CUSTW-00144,3014027.29,436729.07,High,Stocks,Real Estate,22.62,0.53,777953.23,Human Financial Advisor
CUSTW-00145,4299361.39,327639.36,High,Stocks,Bonds,21.56,0.47,275118.79,Human Financial Advisor
CUSTW-00146,3391756.08,322102.93,High,Stocks,Mutual Funds,25.25,0.14,61833.54,None
CUSTW-00147,4334671.15,149441.38,High,Bonds,Gold,25.65,0.16,575707.54,None
CUSTW-00148,3548676.37,408916.35,Low,Stocks,Bonds,13.74,0.88,669697.59,Robo-Advisor
CUSTW-00149,2808381.48,352814.28,Moderate,Mutual Funds,Savings,16.7,0.2,671029.81,None
CUSTW-00150,1310525.3,170851.05,Moderate,Mutual Funds,Savings,28.92,0.58,170122.02,Human Financial Advisor
CUSTW-00151,3177739.5,405156.79,High,Cryptocurrency,Mutual Funds,45.78,0.8,530158.02,None
CUSTW-00152,3556616.55,328584.31,Low,Bonds,Real Estate,31.97,0.33,755260.53,Robo-Advisor
CUSTW-00153,2132137.54,53721.82,Low,Savings,Bonds,18.2,0.39,486647.31,Human Financial Advisor
CUSTW-00154,1223416.85,377396.66,High,Gold,Stocks,33.42,0.22,353514.69,Human Financial Advisor
CUSTW-00155,885734.77,367386.3,High,Gold,Real Estate,33.84,0.1,940653.46,Human Financial Advisor
CUSTW-00156,3955128.13,248630.14,High,Gold,Stocks,13.34,0.56,486697.83,Robo-Advisor
CUSTW-00157,3232770.21,492291.59,High,Gold,Bonds,19.81,0.01,280682.76,Human Financial Advisor
CUSTW-00158,910110.44,61051.82,High,Cryptocurrency,Real Estate,28.84,0.94,522516.79,Robo-Advisor
CUSTW-00159,4017227.49,285348.24,Low,Stocks,Bonds,24.67,0.67,684497.7,None
CUSTW-00160,4294942.11,318042.91,Moderate,Real Estate,Bonds,35.99,0.43,808372.19,Robo-Advisor
CUSTW-00161,862097.81,379584.05,Low,Bonds,Savings,19.5,0.94,401377.93,Human Financial Advisor
CUSTW-00162,2332452.56,422574.83,Moderate,Mutual Funds,Real Estate,31.07,0.6,390323.03,Human Financial Advisor
CUSTW-00163,3384937.71,349746.19,High,Bonds,Savings,34.76,0.08,852551.87,Human Financial Advisor
CUSTW-00164,3033363.48,333251.27,Moderate,Bonds,Mutual Funds,44.22,0.68,893894.04,Robo-Advisor
CUSTW-00165,3788133.93,47795.19,Moderate,Savings,Cryptocurrency,47.19,0.22,169250.06,Human Financial Advisor
CUSTW-00166,4463280.47,228954.94,Moderate,Cryptocurrency,Savings,41.12,0.78,305451.23,Robo-Advisor
CUSTW-00167,3231198.45,305563.45,Low,Gold,Cryptocurrency,6.9,0.25,512694.22,Human Financial Advisor
CUSTW-00168,2511684.14,122571.28,Low,Gold,Savings,11.42,0.65,236487.35,Human Financial Advisor
CUSTW-00169,1884088.25,126980.73,High,Real Estate,Bonds,19.04,0.54,344973.56,Robo-Advisor
CUSTW-00170,3563349.56,207099.34,Low,Gold,Stocks,36.78,0.44,253137.9,None
CUSTW-00171,4562882.9,159722.84,Low,Savings,Cryptocurrency,13.81,0.46,195819.16,Robo-Advisor
CUSTW-00172,1138865.33,278821.2,Low,Cryptocurrency,Gold,9.78,0.79,951380.93,Human Financial Advisor
CUSTW-00173,4225808.66,374921.03,Moderate,Gold,Cryptocurrency,36.13,0.89,417033.55,Robo-Advisor
CUSTW-00174,2530568.49,96728.42,High,Gold,Real Estate,41.48,0.65,57587.11,None
CUSTW-00175,4720327.33,181379.19,High,Stocks,Mutual Funds,12.88,0.76,423660.41,Robo-Advisor
CUSTW-00176,4925862.17,60753.21,Low,Mutual Funds,Bonds,28.68,0.15,5552.15,Robo-Advisor
CUSTW-00177,4389244.46,118970.18,Moderate,Cryptocurrency,Savings,25.87,0.68,550307.38,None
CUSTW-00178,2497309.71,468450.47,High,Stocks,Real Estate,9.14,0.66,291011.38,None
CUSTW-00179,1923586.08,365165.32,High,Gold,Mutual Funds,27.36,0.32,507108.84,Robo-Advisor
CUSTW-00180,2182448.53,420285.68,Low,Bonds,Savings,22.16,0.68,707521.65,Human Financial Advisor
CUSTW-00181,2210168.18,331420.78,High,Mutual Funds,Real Estate,31.56,0.45,333059.16,Human Financial Advisor
CUSTW-00182,2602121.37,176570.36,High,Stocks,Mutual Funds,28.14,0.85,433652.96,Human Financial Advisor
CUSTW-00183,4782736.58,279475.07,High,Gold,Cryptocurrency,41.5,0.78,735504.7,Robo-Advisor
CUSTW-00184,3820331.34,452045.3,Low,Mutual Funds,Savings,35.75,0.54,286563.93,Robo-Advisor
CUSTW-00185,286371.16,485786.0,Moderate,Cryptocurrency,Bonds,37.49,0.64,124997.18,Robo-Advisor
CUSTW-00186,1918186.52,184268.7,Low,Mutual Funds,Cryptocurrency,48.22,0.3,103831.56,None
CUSTW-00187,2673291.57,247290.96,Moderate,Gold,Mutual Funds,44.72,0.47,436837.28,Robo-Advisor
CUSTW-00188,2185252.26,99519.34,Moderate,Mutual Funds,Gold,45.42,0.56,940701.29,Robo-Advisor
CUSTW-00189,4613004.89,127757.26,Moderate,Real Estate,Stocks,29.2,0.75,69045.81,Human Financial Advisor
CUSTW-00190,3772985.64,405569.49,Low,Stocks,Gold,25.26,0.45,615938.39,Robo-Advisor
CUSTW-00191,1212655.33,270492.05,High,Real Estate,Mutual Funds,10.06,0.81,59905.52,Robo-Advisor
CUSTW-00192,2234069.93,152585.39,Moderate,Stocks,Mutual Funds,10.71,0.01,920309.4,Human Financial Advisor
CUSTW-00193,2567195.13,339642.09,Low,Cryptocurrency,Bonds,19.15,0.19,90981.68,Robo-Advisor
CUSTW-00194,753920.55,295616.37,Low,Mutual Funds,Real Estate,21.62,0.34,503128.82,Human Financial Advisor
CUSTW-00195,3227189.01,270341.83,High,Gold,Cryptocurrency,39.24,0.05,885828.46,Robo-Advisor
CUSTW-00196,3953417.41,418948.86,Low,Mutual Funds,Cryptocurrency,22.76,0.74,112511.56,Human Financial Advisor
CUSTW-00197,3443781.93,127117.58,Moderate,Gold,Savings,30.08,0.94,431090.63,Human Financial Advisor
CUSTW-00198,1472706.57,260000.55,Moderate,Real Estate,Bonds,32.33,0.19,263024.92,Robo-Advisor
CUSTW-00199,166001.38,179054.4,High,Stocks,Savings,43.94,0.2,364092.81,Robo-Advisor
CUSTW-00200,3579070.92,119424.39,Moderate,Savings,Stocks,40.04,0.3,340399.59,None
CUSTW-00201,3143960.81,186727.41,Moderate,Real Estate,Savings,12.95,0.27,645648.49,Robo-Advisor
CUSTW-00202,1553971.45,296748.96,Low,Gold,Real Estate,28.15,0.02,73159.8,Robo-Advisor
CUSTW-00203,1781254.38,292038.55,Low,Cryptocurrency,Mutual Funds,32.69,0.98,95362.64,Human Financial Advisor
CUSTW-00204,2289832.31,176418.11,High,Bonds,Cryptocurrency,42.8,0.02,67375.66,None
CUSTW-00205,1417283.61,358983.98,High,Stocks,Mutual Funds,37.47,0.66,159683.62,Human Financial Advisor
CUSTW-00206,2830948.34,278208.7,Low,Cryptocurrency,Stocks,18.12,0.23,829851.28,Human Financial Advisor
CUSTW-00207,4495246.8,210422.35,Moderate,Gold,Bonds,33.15,1.0,18847.54,None
CUSTW-00208,4363062.94,443141.31,Moderate,Savings,Gold,23.54,0.28,932135.86,Human Financial Advisor
CUSTW-00209,1843833.29,296484.21,High,Real Estate,Savings,26.65,0.97,610333.32,Robo-Advisor
CUSTW-00210,4358166.48,390136.32,Low,Gold,Stocks,23.93,0.01,789374.16,Human Financial Advisor
CUSTW-00211,140356.92,169007.28,Moderate,Bonds,Real Estate,12.63,0.53,177239.98,Human Financial Advisor
CUSTW-00212,42280.35,72938.17,High,Cryptocurrency,Mutual Funds,14.98,0.1,914697.12,None
CUSTW-00213,3190553.93,316411.74,Low,Cryptocurrency,Savings,21.5,0.02,515286.74,Robo-Advisor
CUSTW-00214,4345247.3,372203.42,High,Savings,Gold,9.81,0.79,582281.31,Human Financial Advisor
CUSTW-00215,4314375.73,68367.29,Moderate,Cryptocurrency,Savings,24.61,0.4,370598.46,Human Financial Advisor
CUSTW-00216,2448441.05,481712.03,Moderate,Real Estate,Bonds,43.92,0.97,27391.21,None
CUSTW-00217,2022904.8,471515.98,Low,Cryptocurrency,Real Estate,16.87,0.66,873544.8,Human Financial Advisor
CUSTW-00218,1481583.38,158357.74,Moderate,Savings,Real Estate,30.22,0.94,939375.91,None
CUSTW-00219,4017549.78,397666.5,Low,Cryptocurrency,Bonds,18.24,0.45,178171.02,Human Financial Advisor
CUSTW-00220,3815080.09,321494.6,High,Gold,Cryptocurrency,30.99,0.42,446568.58,Human Financial Advisor
CUSTW-00221,3665630.17,288044.3,High,Real Estate,Stocks,39.82,0.89,733893.26,Robo-Advisor
CUSTW-00222,738187.82,266970.38,High,Bonds,Mutual Funds,41.94,0.18,373565.89,Robo-Advisor
CUSTW-00223,2485189.2,361787.87,Low,Gold,Stocks,32.59,0.43,809448.1,Human Financial Advisor
CUSTW-00224,3572516.79,234249.31,Moderate,Real Estate,Savings,20.43,0.78,563218.43,Human Financial Advisor
CUSTW-00225,980195.8,227060.79,Low,Bonds,Mutual Funds,26.64,0.63,542043.2,Human Financial Advisor
CUSTW-00226,671049.8,137742.87,Low,Bonds,Cryptocurrency,12.31,1.0,61629.08,None
CUSTW-00227,571241.77,480481.78,High,Bonds,Stocks,41.06,0.56,213512.85,Human Financial Advisor
CUSTW-00228,961414.18,430870.39,Moderate,Stocks,Real Estate,22.17,0.49,526924.67,Robo-Advisor
CUSTW-00229,623267.16,211854.72,High,Savings,Mutual Funds,33.12,0.5,965429.43,None
CUSTW-00230,3985957.07,128691.0,High,Bonds,Mutual Funds,27.02,0.59,329142.54,Human Financial Advisor
CUSTW-00231,4132794.42,346879.85,High,Gold,Mutual Funds,13.6,0.37,988199.26,None
CUSTW-00232,1359891.71,342859.99,Moderate,Cryptocurrency,Savings,17.41,0.25,347535.72,Human Financial Advisor
CUSTW-00233,2526052.12,202122.44,Low,Savings,Real Estate,47.75,0.15,67381.69,None
CUSTW-00234,1906821.45,163397.1,Moderate,Gold,Real Estate,7.2,0.1,706658.56,None
CUSTW-00235,3811179.86,261047.45,Low,Savings,Stocks,34.87,0.78,570061.03,Human Financial Advisor
CUSTW-00236,3297863.78,40952.66,Moderate,Gold,Real Estate,36.76,0.3,341863.0,None
CUSTW-00237,1864003.26,76132.74,Low,Stocks,Cryptocurrency,23.1,0.62,61316.55,None
CUSTW-00238,1012533.58,255024.56,High,Real Estate,Cryptocurrency,14.22,0.49,135239.16,None
CUSTW-00239,415349.84,214413.08,High,Bonds,Gold,10.47,0.54,803439.62,None
CUSTW-00240,2729940.27,305727.96,Low,Real Estate,Savings,7.34,0.67,792269.61,Human Financial Advisor
CUSTW-00241,2936047.46,116847.01,High,Mutual Funds,Bonds,19.87,0.3,129127.82,Human Financial Advisor
CUSTW-00242,2570968.69,65394.49,Low,Cryptocurrency,Mutual Funds,41.0,0.23,240094.47,Human Financial Advisor
CUSTW-00243,4514638.32,114045.64,High,Mutual Funds,Real Estate,38.78,0.28,563357.26,Human Financial Advisor
CUSTW-00244,3459852.63,203315.85,Moderate,Bonds,Savings,25.84,0.23,33303.46,Human Financial Advisor
CUSTW-00245,3676906.54,31130.64,High,Savings,Mutual Funds,11.6,0.22,599403.12,Human Financial Advisor
CUSTW-00246,4032180.62,445397.61,High,Stocks,Cryptocurrency,14.72,0.4,928861.82,Robo-Advisor
CUSTW-00247,1393287.68,222055.66,High,Gold,Bonds,21.54,0.6,42643.57,Robo-Advisor
CUSTW-00248,4656734.02,489395.21,Low,Bonds,Mutual Funds,37.98,0.97,458548.45,Human Financial Advisor
CUSTW-00249,1972555.97,491794.81,Moderate,Stocks,Gold,8.47,0.76,267973.15,None
CUSTW-00250,3068393.86,38353.32,Moderate,Mutual Funds,Savings,39.86,0.85,987070.25,Robo-Advisor
