customer_id,age,income,employment_status,credit_score,existing_loans,loan_amount_requested,loan_purpose,loan_approval_status,debt_to_income_ratio,loan_interest_rate,loan_term,default_risk
dff7190d,30,39543,Full-time,699,3,194030,Personal,Rejected,0.61,14.16,24,Low
0d584d83,50,69331,Self-employed,583,2,483838,Car,Pending,0.56,13.72,60,Low
40053280,55,123421,Full-time,658,2,15480,Education,Approved,0.31,8.65,360,Medium
dc9b1013,64,37409,Unemployed,314,3,257589,Home,Rejected,0.23,3.92,60,Medium
2ac0ad6f,68,62362,Part-time,581,1,401814,Home,Rejected,0.1,7.98,360,Low
3255b609,34,70916,Part-time,635,5,317015,Education,Pending,0.28,6.56,180,Low
8b236335,34,103615,Part-time,477,5,411359,Business,Rejected,0.68,13.85,24,High
641d64bb,30,130066,Part-time,610,3,486784,Business,Approved,0.19,3.68,180,Low
d1d7c79e,67,132673,Self-employed,839,0,325902,Personal,Rejected,0.29,12.14,24,Medium
21722516,61,138151,Unemployed,602,1,105390,Home,Pending,0.13,6.85,12,High
04590feb,56,74057,Full-time,345,0,60990,Personal,Rejected,0.73,8.6,48,Low
35d4b276,31,43866,Unemployed,393,5,471470,Personal,Approved,0.47,5.68,120,Medium
7b7d3fd1,28,119519,Self-employed,587,4,318474,Car,Approved,0.24,6.12,12,Low
31a91781,47,51114,Unemployed,652,2,477313,Home,Approved,0.6,7.54,120,Low
f7e97501,58,95537,Full-time,650,4,262621,Business,Rejected,0.29,5.07,120,Medium
b2a6e5be,39,75378,Unemployed,689,2,187164,Personal,Approved,0.39,5.04,12,Low
8c66c0b7,50,94515,Part-time,502,4,401521,Car,Pending,0.57,9.99,60,Low
e072c929,60,62599,Unemployed,829,5,61398,Home,Rejected,0.33,14.7,120,Low
8176070c,52,22891,Part-time,336,3,238412,Home,Pending,0.76,3.68,24,Medium
9a99b35e,42,118731,Full-time,343,1,491902,Car,Rejected,0.39,13.12,240,High
eae5c5e5,58,132507,Part-time,479,1,430703,Education,Approved,0.38,11.6,48,Low
a124885c,65,32044,Full-time,436,1,191176,Business,Approved,0.1,10.04,60,Low
364825d0,65,39003,Self-employed,546,2,402469,Personal,Approved,0.28,14.42,12,Low
f17dd677,53,44709,Unemployed,516,5,419728,Personal,Approved,0.47,11.72,12,High
5359c64e,57,141640,Unemployed,637,4,428674,Business,Approved,0.33,12.72,36,High
4d80eefb,65,103615,Unemployed,327,0,492444,Home,Rejected,0.78,9.73,180,High
ae013303,53,25206,Part-time,500,1,381386,Education,Pending,0.4,7.69,12,Medium
a675e710,54,54415,Part-time,614,3,42091,Home,Rejected,0.2,3.26,12,Low
ff7a5f05,57,74586,Full-time,541,4,92884,Home,Approved,0.39,10.49,60,Medium
97e7166c,37,99796,Part-time,685,2,363725,Car,Rejected,0.39,8.69,360,High
177339a6,26,118146,Self-employed,765,0,103529,Business,Approved,0.56,14.76,12,Medium
3ca2832c,47,32887,Part-time,692,0,15508,Car,Rejected,0.79,5.12,240,Low
e5180971,65,48590,Full-time,478,3,409089,Personal,Rejected,0.51,5.28,240,Low
e72ed1c0,27,94004,Self-employed,656,5,137349,Personal,Rejected,0.3,12.72,24,Low
70ef15ff,66,109165,Unemployed,402,4,271531,Personal,Approved,0.35,10.27,60,Medium
32c1af25,37,39265,Full-time,479,3,316354,Home,Rejected,0.72,6.07,180,Medium
b09abed4,56,95877,Self-employed,821,5,224715,Car,Approved,0.62,9.44,12,Medium
cb0cc333,38,146318,Part-time,847,3,388234,Home,Rejected,0.59,9.39,180,Medium
ef7ad82e,53,99059,Unemployed,715,0,453963,Personal,Approved,0.33,11.73,48,Low
36bfc537,40,24351,Unemployed,422,5,391555,Business,Rejected,0.3,6.09,36,Medium
6601ace6,50,125556,Part-time,361,2,311272,Home,Approved,0.4,3.43,24,Low
9da5d048,68,144097,Part-time,648,4,395660,Education,Approved,0.3,5.5,36,Low
0bbef9ce,37,111580,Part-time,368,0,122068,Car,Pending,0.21,6.48,24,Medium
c503334d,60,24044,Full-time,397,0,30301,Business,Approved,0.52,11.18,120,Low
14cfc1fb,47,130311,Unemployed,360,1,262566,Home,Rejected,0.71,12.12,240,Low
88cc5101,21,142731,Full-time,317,1,484203,Personal,Pending,0.7,9.56,60,Low
33e4484b,40,22983,Full-time,709,5,57489,Home,Pending,0.79,14.46,60,Low
6ef1f6aa,31,68893,Full-time,669,4,302678,Education,Pending,0.28,13.45,12,Medium
98780686,46,83056,Unemployed,434,2,487773,Home,Approved,0.73,12.36,60,Low
204c03d9,32,73109,Self-employed,344,5,168836,Car,Approved,0.24,14.59,12,Medium
d7fccaca,35,40943,Unemployed,563,4,292141,Education,Pending,0.74,6.99,24,Low
b8457527,48,25132,Self-employed,710,5,340076,Education,Approved,0.47,2.69,60,High
eab8c6b0,28,22102,Full-time,460,3,465871,Home,Pending,0.59,13.18,48,High
4b82cb63,64,104159,Part-time,773,3,494836,Personal,Approved,0.78,2.61,24,Low
7245cb12,54,115238,Full-time,832,0,35295,Personal,Rejected,0.21,6.56,360,High
94a02c59,21,57256,Self-employed,473,2,372124,Personal,Approved,0.55,10.15,120,High
04a02243,44,145227,Self-employed,515,0,444462,Car,Approved,0.8,10.81,240,Medium
a95704c3,58,85522,Part-time,768,1,461234,Car,Approved,0.21,4.93,360,Medium
2d57c685,63,63026,Part-time,420,3,156434,Home,Rejected,0.75,13.24,12,Low
76f872d9,35,54725,Part-time,368,4,158716,Education,Rejected,0.36,9.56,120,Medium
86c2dacb,33,67144,Self-employed,732,0,34553,Home,Rejected,0.61,2.53,240,High
0f4d1521,69,89333,Part-time,798,4,232836,Home,Approved,0.77,4.9,240,High
3b2791d8,41,57506,Part-time,358,0,345292,Business,Approved,0.43,13.74,120,Low
f2b68229,66,23267,Part-time,605,5,137125,Home,Pending,0.52,5.22,24,Low
f3390e94,34,102888,Full-time,680,5,189299,Personal,Approved,0.12,4.49,12,High
f3c3be35,44,105109,Full-time,314,3,366400,Business,Approved,0.51,13.71,120,High
fd0606b9,67,65177,Full-time,330,3,51862,Personal,Approved,0.65,10.85,60,High
f9301892,27,32196,Part-time,423,1,412376,Car,Approved,0.68,13.92,180,Low
d614fecc,50,144238,Full-time,844,2,127580,Personal,Rejected,0.7,10.01,120,Low
880f0359,27,81261,Full-time,792,5,152179,Business,Approved,0.67,7.31,24,Low
11c129e8,54,147891,Self-employed,825,3,399604,Personal,Rejected,0.4,12.96,36,High
c05754c3,23,135908,Unemployed,495,1,277732,Car,Approved,0.78,12.12,120,Low
14295603,45,131113,Part-time,741,3,22710,Personal,Rejected,0.54,4.76,48,Medium
687d5397,56,109113,Full-time,608,3,472719,Education,Rejected,0.41,14.18,60,High
b3984919,52,123078,Unemployed,709,2,81469,Car,Rejected,0.52,2.55,120,Low
80f6f389,56,121330,Unemployed,509,2,37628,Education,Approved,0.57,5.3,180,Low
7d9463ba,51,57600,Full-time,529,0,183746,Home,Approved,0.42,6.14,12,Low
95182802,60,104750,Part-time,466,5,144011,Home,Rejected,0.17,10.07,24,Medium
846806aa,52,27150,Self-employed,495,4,351755,Home,Rejected,0.4,10.7,36,Low
4ca3bc5c,24,50381,Self-employed,676,0,269891,Car,Rejected,0.41,6.73,24,High
ea7174d3,69,33513,Unemployed,476,5,449834,Home,Pending,0.47,14.7,48,Low
71a8d665,59,128116,Part-time,808,1,256052,Car,Approved,0.7,10.29,120,Low
1548a47e,23,121593,Part-time,433,1,199346,Car,Approved,0.26,10.21,12,Medium
a0f97ad8,38,82794,Full-time,629,1,111120,Car,Approved,0.51,3.29,360,Medium
72c3e408,38,81495,Full-time,734,2,433152,Home,Approved,0.24,3.26,12,High
0d357fa0,30,90626,Full-time,679,0,405362,Personal,Approved,0.67,8.74,180,High
d97022d3,39,59663,Unemployed,529,2,116999,Business,Pending,0.27,4.75,60,Low
8ca3ac86,31,36050,Full-time,359,5,45696,Home,Rejected,0.55,8.75,360,High
977b89a0,69,65724,Part-time,654,4,326761,Personal,Approved,0.12,12.73,48,Medium
fe245c1c,54,122755,Self-employed,733,0,78701,Personal,Approved,0.28,5.9,60,Medium
f5ee4377,51,103666,Unemployed,491,4,118368,Personal,Approved,0.78,13.68,120,Low
fd8c688f,24,54021,Unemployed,651,4,133439,Education,Approved,0.72,9.4,180,Low
faf0f45d,55,39863,Self-employed,648,5,426582,Car,Approved,0.23,10.2,24,Low
e815aa71,54,135967,Self-employed,532,4,478020,Personal,Approved,0.57,8.54,36,High
ced4dfef,36,133959,Self-employed,364,2,476957,Home,Approved,0.66,8.35,180,Medium
6dcbc85e,52,101480,Full-time,455,0,363611,Home,Approved,0.27,3.34,48,Low
46e32075,35,57697,Self-employed,563,4,231061,Personal,Rejected,0.62,6.69,12,High
65abde3f,68,26365,Full-time,631,5,178938,Personal,Rejected,0.22,7.25,12,Low
18ed180b,56,132471,Unemployed,847,1,115606,Personal,Rejected,0.19,14.43,180,Low
66f021f0,23,37595,Self-employed,673,1,193707,Education,Approved,0.13,9.36,360,Low
17c32e8b,57,97322,Part-time,342,1,393743,Car,Approved,0.35,11.73,12,Low
33abf082,32,133901,Self-employed,746,4,360252,Business,Rejected,0.33,8.03,12,Low
2e1cb3e5,65,133421,Part-time,666,2,267728,Car,Approved,0.43,13.29,120,High
34999a5a,58,82559,Self-employed,430,2,57429,Education,Rejected,0.34,12.56,60,Low
84c75321,45,142550,Unemployed,496,4,50445,Personal,Approved,0.43,10.86,12,Low
fb1097b5,62,137781,Unemployed,436,4,273305,Business,Rejected,0.3,5.15,360,Low
39a68628,53,71311,Part-time,474,1,312365,Car,Approved,0.61,7.48,180,Medium
cf8b8e7f,63,55853,Self-employed,491,2,496558,Home,Rejected,0.61,9.41,12,Low
02bfcc81,53,102353,Self-employed,389,1,84443,Home,Pending,0.25,10.19,48,Low
74c0850d,35,112306,Full-time,793,4,341915,Car,Rejected,0.58,10.26,60,Low
edae9826,22,39581,Full-time,405,3,77849,Personal,Rejected,0.57,8.9,24,Low
a5998a5e,63,64586,Part-time,573,3,380243,Car,Approved,0.37,12.09,48,Medium
5faf2617,20,33060,Unemployed,630,4,338502,Business,Rejected,0.57,3.54,360,Low
529d7a31,45,94281,Part-time,323,5,146904,Personal,Approved,0.16,8.11,360,Low
fcabe579,58,143138,Part-time,443,2,139428,Personal,Approved,0.76,11.68,48,Low
f14e6e14,39,64969,Unemployed,503,1,496486,Home,Approved,0.4,7.23,48,Medium
fcfe196b,69,28177,Full-time,340,4,342233,Home,Approved,0.47,10.24,36,High
bfde278d,21,96244,Full-time,637,5,277873,Car,Approved,0.66,11.05,240,Medium
4cf258b3,57,138359,Part-time,673,0,390812,Education,Pending,0.34,8.76,48,High
327b3a3f,53,27792,Unemployed,608,0,290927,Home,Approved,0.74,13.34,36,Low
57a0562e,18,53468,Unemployed,769,4,220596,Personal,Rejected,0.69,6.38,36,Medium
122b200b,32,81242,Unemployed,323,4,174752,Education,Approved,0.19,10.78,24,Low
3526edd5,26,101541,Part-time,532,3,263301,Home,Approved,0.23,9.77,240,Low
239fb427,67,61717,Part-time,647,0,370049,Business,Approved,0.61,11.83,60,Low
0f222187,40,90690,Full-time,756,1,239302,Education,Approved,0.5,7.44,24,Low
e326ccde,40,123853,Full-time,743,5,372266,Home,Approved,0.5,6.75,360,Low
11b62bae,45,104849,Unemployed,786,3,168378,Car,Rejected,0.55,7.92,24,Medium
24861a3c,43,92464,Self-employed,520,5,162615,Education,Rejected,0.56,3.25,60,Medium
8723a1f2,46,90969,Full-time,750,5,12802,Car,Rejected,0.49,6.35,180,Low
b920e153,52,116203,Unemployed,760,5,66344,Home,Approved,0.33,4.33,60,Medium
04fb5ffd,31,106233,Self-employed,831,5,301882,Education,Rejected,0.49,5.13,240,Medium
916ca311,55,130761,Self-employed,308,3,449433,Car,Pending,0.67,4.76,180,Low
12b806b7,69,145293,Unemployed,500,1,435886,Car,Rejected,0.62,12.26,60,Medium
fbc05689,33,33417,Full-time,722,0,248293,Business,Rejected,0.24,11.77,60,Low
6c0f726f,61,98536,Full-time,831,4,35597,Personal,Approved,0.65,14.24,180,Low
83ffa060,33,95484,Unemployed,747,0,491416,Business,Rejected,0.19,14.45,12,High
aa0758b3,51,101300,Part-time,521,4,465570,Home,Rejected,0.57,6.03,180,Low
ea01ea56,20,72189,Unemployed,505,0,223242,Personal,Rejected,0.75,12.62,12,Medium
c731ceaf,67,36145,Full-time,693,0,315363,Personal,Rejected,0.14,8.44,24,Low
ab3d545a,58,94156,Part-time,645,4,315988,Personal,Approved,0.2,10.74,360,Low
d9d9c3dd,57,132255,Part-time,688,5,227984,Personal,Approved,0.44,8.67,120,Low
8e63cc60,40,126181,Part-time,775,5,266136,Home,Rejected,0.2,5.36,180,High
16cce201,20,76720,Full-time,320,5,275309,Home,Approved,0.38,6.94,24,Medium
c1bc06ad,38,106666,Self-employed,396,0,193252,Business,Approved,0.3,7.36,120,Low
7169944c,26,22304,Unemployed,532,1,109731,Education,Approved,0.31,12.28,12,Low
317af63c,33,120410,Full-time,466,2,308058,Business,Approved,0.22,7.26,36,Low
a2a8cc26,21,118442,Unemployed,597,0,74909,Personal,Rejected,0.77,5.49,36,Medium
dadbe8ce,24,112043,Part-time,701,4,198651,Personal,Approved,0.19,7.22,48,High
d27a488c,70,126404,Part-time,749,5,36125,Education,Approved,0.31,8.95,48,Medium
856da9e8,29,70117,Part-time,382,3,337548,Home,Rejected,0.52,13.55,36,High
337ea04b,34,97601,Self-employed,824,3,224420,Home,Approved,0.38,13.82,60,Low
f6e35d8f,25,128976,Self-employed,561,4,239724,Car,Rejected,0.63,3.27,60,Medium
964ebb16,38,54547,Self-employed,569,2,330173,Car,Pending,0.23,5.36,24,Medium
da1a01b1,58,99140,Full-time,594,2,103877,Education,Approved,0.34,4.81,24,Low
047cb4f1,68,128983,Full-time,340,0,53644,Education,Rejected,0.24,13.65,60,Low
8ceeb904,26,24790,Part-time,639,2,428942,Car,Approved,0.67,11.28,120,High
da57864f,37,126813,Self-employed,421,5,482214,Car,Rejected,0.17,13.65,48,High
cb28e6b9,41,97117,Unemployed,751,3,261670,Business,Approved,0.4,4.49,120,Medium
25424930,41,49618,Unemployed,423,3,421614,Business,Approved,0.13,6.71,180,High
32425df9,60,149952,Unemployed,608,5,93342,Business,Rejected,0.77,7.05,240,High
534c05a1,70,149977,Self-employed,526,2,388152,Home,Rejected,0.44,13.2,240,Low
27f1338e,66,39176,Unemployed,714,4,50431,Car,Approved,0.7,8.88,120,Medium
9657e6be,21,118910,Self-employed,316,2,192445,Education,Approved,0.59,4.58,12,Low
ea8608c8,33,145053,Part-time,832,4,41553,Business,Approved,0.67,4.99,36,Medium
71926b2c,28,148295,Part-time,671,3,15048,Business,Approved,0.3,2.95,120,Low
133948dd,31,111962,Full-time,514,5,419361,Car,Pending,0.45,4.62,36,Medium
43605b40,28,55544,Self-employed,839,3,149225,Business,Approved,0.58,4.53,120,Medium
9a193e55,29,80766,Self-employed,415,5,292261,Home,Approved,0.78,3.73,120,Medium
cb74923d,19,50604,Full-time,570,2,365372,Education,Approved,0.3,14.38,48,High
c6572d9b,69,144508,Unemployed,624,1,416907,Business,Approved,0.42,9.02,48,Medium
136aa9fb,68,62926,Part-time,441,3,100824,Personal,Approved,0.57,10.29,240,High
82b0a31a,57,50966,Unemployed,661,2,486853,Business,Rejected,0.16,14.78,360,High
71589ad4,46,20354,Unemployed,594,0,55225,Home,Pending,0.71,6.13,360,Low
63f4413c,25,90365,Full-time,729,0,13198,Business,Approved,0.6,11.25,60,Medium
d06d518d,38,55248,Full-time,763,2,27121,Home,Approved,0.67,3.11,48,Low
8943c116,58,61436,Unemployed,684,1,114607,Car,Rejected,0.19,6.82,24,Low
c1f32547,40,64200,Self-employed,661,2,272922,Personal,Approved,0.51,14.6,24,High
02f44933,43,23162,Part-time,829,1,151041,Education,Rejected,0.52,5.26,36,Medium
be97631a,60,87764,Self-employed,589,1,367431,Home,Rejected,0.67,13.96,48,Medium
5246246e,70,74587,Part-time,528,0,53653,Business,Rejected,0.32,3.93,36,Medium
1fb7ecf3,66,90408,Unemployed,551,1,319433,Personal,Pending,0.68,14.94,60,Low
a1b7dc64,64,48857,Self-employed,641,3,397709,Business,Approved,0.38,2.61,180,Low
824ef6b3,62,65249,Part-time,545,5,258888,Home,Approved,0.5,8.83,240,High
4a83d7ef,46,41916,Part-time,386,2,342239,Education,Approved,0.59,14.96,240,Low
c26a73a1,57,131740,Self-employed,366,3,330221,Education,Approved,0.78,8.28,24,Low
72b5908e,61,115083,Full-time,544,2,464776,Personal,Approved,0.12,4.35,240,Medium
b0eff61d,46,114002,Unemployed,494,1,24354,Education,Rejected,0.56,3.03,360,Medium
3b7533fe,34,98464,Self-employed,682,4,348144,Personal,Rejected,0.42,14.0,120,Low
3c2a7193,42,33129,Full-time,386,4,250426,Car,Approved,0.57,14.8,12,Low
5966ab0c,42,64085,Unemployed,572,5,364481,Home,Pending,0.22,6.16,360,High
ba141f4e,46,108930,Unemployed,735,5,227551,Education,Approved,0.74,9.78,120,Medium
25ed11e6,18,55496,Self-employed,754,5,175391,Business,Rejected,0.62,7.26,36,Low
b03f2b43,61,112160,Unemployed,526,3,70001,Education,Approved,0.52,12.0,60,Low
206cfa76,21,33257,Full-time,629,0,375828,Education,Approved,0.1,2.86,12,High
c09b9622,61,60679,Full-time,550,4,381447,Car,Approved,0.79,9.32,12,High
d71e6e19,43,92991,Full-time,512,2,28506,Education,Approved,0.63,3.44,120,Medium
0a8f017a,69,107187,Self-employed,817,3,443401,Home,Rejected,0.15,11.59,120,Medium
6b2aeb10,28,43416,Unemployed,498,5,254866,Car,Approved,0.7,12.58,24,Low
ca70edc3,62,120722,Full-time,377,5,404622,Car,Approved,0.23,8.99,36,Low
c577a90f,48,114331,Full-time,554,5,348593,Business,Approved,0.6,13.96,48,Medium
b35586b2,49,43046,Unemployed,571,0,398244,Personal,Rejected,0.51,2.74,60,High
848a31d0,26,130685,Part-time,691,4,446474,Personal,Approved,0.47,4.68,180,Low
d6bbd7c5,21,33020,Unemployed,820,2,228384,Personal,Approved,0.19,12.55,120,Low
5ab13461,66,102877,Self-employed,842,0,294598,Education,Rejected,0.46,9.35,180,High
2ce4183e,33,143974,Unemployed,383,4,455464,Car,Approved,0.51,2.85,60,High
cdad004e,68,53627,Self-employed,774,2,311948,Car,Approved,0.51,10.77,60,Medium
c5c43d87,59,31744,Self-employed,573,2,107570,Business,Rejected,0.56,2.74,180,Medium
de7a9eb0,38,148511,Part-time,741,0,468901,Home,Approved,0.33,5.16,360,Medium
4cf689e2,27,145651,Self-employed,500,5,310228,Personal,Rejected,0.78,8.83,60,Low
086328d1,42,127854,Full-time,699,4,352827,Personal,Approved,0.55,4.94,24,Medium
25a331c6,57,33988,Part-time,674,5,56392,Car,Approved,0.58,6.22,36,Low
0a9feca7,19,95951,Part-time,452,2,148233,Education,Rejected,0.55,11.24,180,Low
4b58d413,56,62207,Self-employed,790,2,237314,Home,Pending,0.74,9.15,24,Low
b146a05f,59,84368,Self-employed,847,4,386064,Car,Approved,0.75,4.15,36,High
816ecc12,28,69853,Unemployed,595,0,95850,Home,Rejected,0.48,9.95,36,Medium
cf11df0e,33,95878,Unemployed,377,0,112539,Education,Approved,0.35,7.08,360,Low
9f1dfaaf,18,55172,Unemployed,579,0,314439,Home,Approved,0.3,5.17,240,Medium
72788b88,38,131984,Full-time,323,5,107233,Personal,Rejected,0.2,15.0,240,Medium
a7a15669,59,95990,Unemployed,437,4,369131,Home,Rejected,0.12,6.52,48,Medium
dbf29454,70,101832,Full-time,444,3,64063,Personal,Approved,0.1,6.21,360,Medium
1129b09c,57,102104,Part-time,351,2,148132,Home,Approved,0.71,3.56,60,Low
acf3934f,29,22653,Self-employed,757,4,322219,Personal,Approved,0.28,3.78,24,High
382fd3d7,21,82702,Unemployed,316,2,125854,Education,Approved,0.26,7.98,36,High
72a126e9,54,63197,Full-time,301,2,169495,Business,Approved,0.6,10.33,180,High
