Customer_ID,Age,Gender,Income,Location,Last_Transaction,Frequent_Merchant,Average_Monthly_Spend,Social_Media_Platform,Engagement_Score,Customer_Feedback,Review_Score,Credit_Score,Existing_Loans,Loan_Offer,Food_Expense,Entertainment_Expense,Bills_Expense,Savings_Expense,Fraud_Score,Financial_Advice,Investment_Profile
CUST-0023,58,Female,1852633,Mumbai,3584,Amazon,97993,Twitter,1,Negative,1,731,5,Credit Card Offer,8129,14083,31194,10426,42,Invest in Mutual Funds,Gold
CUST-0024,52,Female,1716484,Hyderabad,3402,Reliance Digital,30756,Instagram,3,Negative,5,349,4,Personal Loan,13929,12038,27514,8914,77,Reduce Spending,Gold
CUST-0025,44,Male,1499272,Pune,9769,Big Bazaar,53317,LinkedIn,38,Neutral,3,843,1,Credit Card Offer,16533,9846,19505,24232,14,Increase Savings,Bonds
CUST-0026,57,Female,1949881,Mumbai,8902,DMart,62141,Facebook,25,Neutral,4,547,2,Home Loan,3306,3888,40452,13800,10,Reduce Spending,Bonds
CUST-0027,69,Male,1174952,Delhi,7735,Amazon,40730,LinkedIn,13,Positive,5,638,4,Personal Loan,16915,10140,31159,36697,76,Consider a Loan,Bonds
CUST-0028,39,Female,1514769,Kolkata,901,DMart,97649,Instagram,43,Neutral,3,630,2,Home Loan,10806,11862,44940,41079,70,Reduce Spending,Gold
CUST-0029,30,Female,2305667,Delhi,8492,Reliance Digital,49916,Twitter,50,Negative,2,538,4,Personal Loan,6270,13959,14262,38691,76,Consider a Loan,Gold
CUST-0030,32,Male,1847411,Jaipur,4547,Big Bazaar,70035,Facebook,74,Positive,3,379,0,Car Loan,4366,6720,19630,34875,66,Reduce Spending,Bonds
CUST-0031,39,Female,1727914,Ahmedabad,4083,Myntra,5644,Instagram,72,Neutral,4,729,0,Credit Card Offer,13508,4728,24376,28885,6,Consider a Loan,Fixed Deposits
CUST-0032,53,Male,887808,Kolkata,5914,Big Bazaar,97892,Facebook,56,Neutral,1,628,4,Car Loan,16949,4181,45349,11386,51,Reduce Spending,Stocks
CUST-0033,32,Female,1543719,Mumbai,3721,DMart,57481,Twitter,80,Positive,1,834,4,Home Loan,6542,12848,2824,10255,2,Increase Savings,Fixed Deposits
CUST-0034,65,Female,2012123,Bangalore,9194,Big Bazaar,16256,LinkedIn,26,Positive,3,848,0,Home Loan,8440,10662,5522,18014,53,Reduce Spending,Bonds
CUST-0035,18,Male,971408,Chennai,9504,Reliance Digital,12689,LinkedIn,65,Negative,5,595,3,Home Loan,11839,4899,19580,48939,75,Reduce Spending,Bonds
CUST-0036,61,Male,1810350,Ahmedabad,7330,Myntra,98003,Facebook,54,Positive,5,705,2,Car Loan,18358,6200,31690,37201,82,Increase Savings,Stocks
CUST-0037,21,Male,1272072,Ahmedabad,714,DMart,88040,LinkedIn,97,Positive,3,459,3,Home Loan,16827,12317,46594,40334,51,Invest in Mutual Funds,Fixed Deposits
CUST-0038,48,Male,1147529,Mumbai,2907,Big Bazaar,63090,Facebook,84,Negative,4,361,3,Personal Loan,6950,3302,24331,35917,71,Consider a Loan,Fixed Deposits
CUST-0039,34,Male,2354165,Kolkata,6684,DMart,95716,LinkedIn,50,Neutral,3,808,3,Home Loan,14682,14965,8044,11816,83,Invest in Mutual Funds,Bonds
CUST-0040,27,Male,2265968,Chennai,5675,Myntra,70639,LinkedIn,70,Neutral,2,531,5,Credit Card Offer,2042,4886,48532,44883,53,Consider a Loan,Bonds
CUST-0041,23,Female,2251777,Jaipur,6862,Amazon,33646,LinkedIn,74,Positive,1,742,0,Credit Card Offer,11004,3506,48473,4023,22,Invest in Mutual Funds,Fixed Deposits
CUST-0042,64,Male,310561,Lucknow,7752,DMart,79495,Facebook,51,Neutral,1,833,3,Credit Card Offer,19880,2901,26283,42665,36,Invest in Mutual Funds,Gold
CUST-0043,75,Male,2475169,Kolkata,7855,Myntra,53753,Instagram,45,Positive,1,323,3,Car Loan,2889,3740,18831,6231,9,Increase Savings,Stocks
CUST-0044,18,Female,2429093,Lucknow,7903,DMart,67891,Instagram,86,Negative,2,762,1,Home Loan,16073,13466,9522,40763,89,Increase Savings,Stocks
CUST-0045,38,Male,1370441,Kolkata,9308,Big Bazaar,11486,Facebook,70,Negative,4,584,5,Credit Card Offer,5621,11154,46715,22122,16,Consider a Loan,Stocks
CUST-0046,22,Female,1408129,Mumbai,4049,Amazon,83812,Twitter,37,Neutral,1,710,2,Car Loan,14878,5742,16170,10290,97,Reduce Spending,Fixed Deposits
CUST-0047,64,Male,2071343,Delhi,6032,Myntra,20689,Facebook,34,Positive,2,317,4,Credit Card Offer,1447,14165,18532,16282,34,Reduce Spending,Stocks
CUST-0048,36,Male,386319,Chennai,4177,DMart,33864,Facebook,87,Negative,4,531,5,Home Loan,14824,13125,41886,3497,45,Invest in Mutual Funds,Gold
CUST-0049,31,Male,1723040,Chennai,2861,DMart,77134,Instagram,37,Positive,4,487,4,Personal Loan,13657,13529,24853,38653,19,Reduce Spending,Stocks
CUST-0050,21,Male,2297777,Pune,7860,DMart,26826,Instagram,31,Positive,2,655,3,Credit Card Offer,1931,7167,45124,8807,29,Invest in Mutual Funds,Fixed Deposits
CUST-0051,38,Female,1754481,Mumbai,7247,Big Bazaar,6372,Instagram,100,Positive,3,698,3,Home Loan,15272,2058,23750,18469,54,Invest in Mutual Funds,Fixed Deposits
CUST-0052,46,Female,2254001,Kolkata,1747,DMart,85809,LinkedIn,9,Neutral,5,566,4,Personal Loan,580,14774,2574,42971,53,Consider a Loan,Stocks
CUST-0053,71,Male,850415,Jaipur,2630,Reliance Digital,70562,LinkedIn,45,Negative,3,472,5,Credit Card Offer,8703,14824,24482,10010,89,Consider a Loan,Gold
CUST-0054,64,Male,974393,Hyderabad,5971,Flipkart,16008,LinkedIn,9,Neutral,2,661,0,Car Loan,7813,5402,41137,9884,57,Invest in Mutual Funds,Fixed Deposits
CUST-0055,22,Male,2135006,Chennai,8725,Big Bazaar,22791,Facebook,49,Neutral,2,555,2,Home Loan,715,2402,27604,48068,38,Consider a Loan,Gold
CUST-0056,37,Female,1334019,Bangalore,610,Big Bazaar,54071,Twitter,34,Positive,1,767,2,Credit Card Offer,14332,3408,36316,39018,65,Increase Savings,Gold
CUST-0057,50,Female,1456369,Jaipur,6517,Flipkart,28764,Twitter,26,Negative,4,344,5,Credit Card Offer,5758,3689,24620,3951,93,Reduce Spending,Bonds
CUST-0058,44,Male,1436970,Mumbai,491,Reliance Digital,30328,LinkedIn,1,Neutral,3,580,5,Car Loan,12756,9248,45839,16826,8,Increase Savings,Bonds
CUST-0059,26,Male,417229,Jaipur,4905,Reliance Digital,51592,LinkedIn,86,Positive,3,361,4,Car Loan,16905,1956,9009,39615,3,Reduce Spending,Gold
CUST-0060,73,Female,2473571,Bangalore,4602,Flipkart,66023,Instagram,84,Negative,3,654,0,Home Loan,10069,9172,42791,22910,72,Reduce Spending,Bonds
CUST-0061,28,Male,1033722,Delhi,4809,Reliance Digital,9310,Facebook,9,Negative,3,564,1,Credit Card Offer,4873,1993,19949,32259,38,Consider a Loan,Stocks
CUST-0062,33,Female,1886860,Bangalore,8892,DMart,70800,Twitter,47,Negative,2,379,1,Home Loan,4205,11518,10323,37206,53,Reduce Spending,Stocks
CUST-0063,69,Male,1001902,Bangalore,1204,Amazon,87580,Instagram,46,Negative,1,663,2,Car Loan,16779,7307,27202,47279,25,Increase Savings,Gold
CUST-0064,32,Male,1734861,Kolkata,5651,Big Bazaar,65952,LinkedIn,77,Positive,4,803,4,Personal Loan,9904,2208,24916,3594,6,Reduce Spending,Gold
CUST-0065,37,Female,1025571,Bangalore,3741,Big Bazaar,13163,LinkedIn,38,Neutral,1,387,2,Car Loan,10526,13297,43330,20739,79,Reduce Spending,Gold
CUST-0066,33,Female,1441483,Kolkata,7504,Amazon,14131,Instagram,96,Positive,1,809,5,Credit Card Offer,4567,3508,11244,38084,18,Increase Savings,Gold
CUST-0067,23,Female,1000149,Jaipur,349,Myntra,93961,Twitter,2,Positive,3,310,5,Personal Loan,14327,9037,49863,3912,55,Increase Savings,Stocks
CUST-0068,26,Female,409771,Jaipur,8662,Big Bazaar,95114,Facebook,3,Positive,5,455,4,Credit Card Offer,13457,6614,42025,42642,70,Consider a Loan,Bonds
CUST-0069,45,Male,816525,Pune,4017,Amazon,47316,Facebook,38,Negative,4,672,5,Personal Loan,16573,8405,38128,19435,72,Increase Savings,Stocks
CUST-0070,24,Female,1646013,Bangalore,2974,Amazon,71205,LinkedIn,89,Neutral,2,537,5,Credit Card Offer,19576,10417,29006,25679,39,Reduce Spending,Bonds
CUST-0071,20,Female,1685991,Mumbai,7624,DMart,42930,Facebook,29,Negative,2,592,5,Personal Loan,4699,3948,36848,19375,57,Consider a Loan,Fixed Deposits
CUST-0072,55,Female,1844802,Delhi,4794,DMart,6734,Facebook,53,Negative,1,427,5,Credit Card Offer,1284,5027,42236,45536,2,Consider a Loan,Gold
CUST-0073,57,Male,487896,Chennai,1173,Reliance Digital,64880,Twitter,78,Positive,1,767,2,Credit Card Offer,8739,13792,1390,40897,83,Invest in Mutual Funds,Stocks
CUST-0074,72,Male,1291138,Lucknow,7001,DMart,78222,LinkedIn,75,Neutral,3,462,2,Credit Card Offer,13407,13570,25792,21793,38,Increase Savings,Stocks
CUST-0075,24,Male,2122875,Chennai,627,Amazon,19435,LinkedIn,91,Positive,3,557,2,Car Loan,14271,1937,16892,2975,68,Invest in Mutual Funds,Gold
CUST-0076,23,Female,1743951,Bangalore,7829,DMart,98590,Twitter,77,Negative,4,835,0,Home Loan,17814,11440,25465,18268,94,Reduce Spending,Bonds
CUST-0077,62,Female,1852559,Lucknow,5346,Reliance Digital,8666,Twitter,34,Neutral,3,470,4,Home Loan,14787,10613,7267,34419,82,Invest in Mutual Funds,Stocks
CUST-0078,75,Female,1833106,Chennai,405,Amazon,25948,Facebook,94,Negative,2,773,4,Home Loan,8220,13005,4963,37699,76,Reduce Spending,Fixed Deposits
CUST-0079,45,Female,1570829,Bangalore,3136,Myntra,26579,LinkedIn,49,Negative,1,592,2,Car Loan,11842,4701,40407,12663,4,Increase Savings,Bonds
CUST-0080,18,Male,1115356,Chennai,9644,Reliance Digital,18228,Facebook,57,Positive,5,829,1,Home Loan,17201,11518,21273,43747,50,Consider a Loan,Bonds
CUST-0081,62,Male,1257076,Hyderabad,2324,Reliance Digital,58051,Facebook,16,Neutral,5,557,3,Personal Loan,14603,7614,15376,25759,27,Reduce Spending,Fixed Deposits
CUST-0082,64,Male,1626891,Ahmedabad,3560,Amazon,28383,LinkedIn,36,Negative,2,358,2,Personal Loan,6301,5110,3195,49152,45,Increase Savings,Stocks
CUST-0083,37,Male,902568,Chennai,9426,Amazon,91501,Instagram,48,Neutral,2,655,4,Personal Loan,2240,8194,44077,20619,72,Increase Savings,Gold
CUST-0084,45,Female,1643253,Chennai,7996,DMart,87137,Facebook,58,Negative,4,791,1,Personal Loan,17521,4264,25766,6612,84,Reduce Spending,Gold
CUST-0085,31,Male,393187,Lucknow,2487,Reliance Digital,34445,LinkedIn,51,Positive,1,558,0,Personal Loan,18729,2678,7507,35331,94,Increase Savings,Bonds
CUST-0086,34,Female,873443,Kolkata,4892,Myntra,18792,Instagram,44,Positive,1,794,0,Car Loan,14280,11776,36521,25038,56,Increase Savings,Stocks
CUST-0087,19,Female,864339,Bangalore,5085,Amazon,34191,Twitter,48,Positive,1,395,4,Credit Card Offer,14976,6553,39070,13345,31,Increase Savings,Gold
CUST-0088,54,Male,1274797,Pune,9738,Myntra,25943,Facebook,43,Negative,5,412,0,Credit Card Offer,12756,1444,14710,36157,25,Invest in Mutual Funds,Bonds
CUST-0089,23,Male,2114021,Ahmedabad,5385,Reliance Digital,62664,Instagram,64,Positive,4,755,0,Car Loan,9743,7674,39588,2530,15,Increase Savings,Fixed Deposits
CUST-0090,42,Female,2476809,Delhi,9196,Amazon,10656,LinkedIn,34,Neutral,3,339,5,Home Loan,1193,5991,17144,9136,30,Increase Savings,Fixed Deposits
CUST-0091,54,Male,2019697,Ahmedabad,9638,Big Bazaar,81788,Facebook,50,Positive,2,743,4,Credit Card Offer,7587,8456,4122,36975,5,Consider a Loan,Bonds
CUST-0092,33,Female,754001,Ahmedabad,5634,Amazon,90276,Twitter,96,Positive,4,649,5,Car Loan,16051,7649,23521,9478,90,Increase Savings,Stocks
CUST-0093,57,Female,1562464,Jaipur,144,Big Bazaar,99683,LinkedIn,76,Positive,2,575,1,Car Loan,4641,10913,46440,8596,73,Consider a Loan,Fixed Deposits
CUST-0094,28,Male,1712898,Bangalore,9776,Big Bazaar,81187,LinkedIn,25,Positive,4,456,5,Home Loan,15567,901,9976,16249,91,Increase Savings,Bonds
CUST-0095,49,Female,1120323,Chennai,4447,Reliance Digital,37269,Twitter,54,Negative,3,383,5,Car Loan,2916,5679,2994,13941,82,Increase Savings,Bonds
CUST-0096,21,Female,1153970,Mumbai,4238,Myntra,64475,Facebook,22,Neutral,5,378,4,Car Loan,10329,9726,27952,32640,81,Reduce Spending,Fixed Deposits
CUST-0097,56,Female,1499279,Chennai,2423,DMart,29002,Twitter,70,Positive,1,484,0,Credit Card Offer,14625,2680,16526,29737,58,Consider a Loan,Gold
CUST-0098,55,Male,1661978,Pune,5500,Myntra,39126,LinkedIn,51,Negative,1,434,0,Credit Card Offer,16383,14673,29260,8360,46,Reduce Spending,Stocks
CUST-0099,21,Male,572281,Lucknow,1693,Big Bazaar,18960,LinkedIn,82,Neutral,1,304,5,Home Loan,2700,1833,22297,38616,28,Increase Savings,Fixed Deposits
CUST-0100,59,Female,771129,Lucknow,500,Myntra,99648,Twitter,48,Positive,3,713,4,Credit Card Offer,9938,11697,10292,12419,4,Invest in Mutual Funds,Gold
CUST-0101,49,Female,2405515,Kolkata,1138,Flipkart,98649,LinkedIn,97,Negative,1,781,2,Home Loan,16883,500,7020,14813,36,Invest in Mutual Funds,Fixed Deposits
CUST-0102,47,Female,955605,Pune,678,Myntra,95936,Twitter,67,Neutral,3,818,0,Credit Card Offer,4094,4254,33283,48992,98,Consider a Loan,Gold
CUST-0103,61,Male,443492,Ahmedabad,9590,Amazon,72708,LinkedIn,89,Neutral,5,440,5,Home Loan,12973,4958,4117,19132,88,Consider a Loan,Bonds
CUST-0104,39,Male,1206872,Pune,3148,Reliance Digital,22353,LinkedIn,65,Neutral,3,431,2,Personal Loan,10357,5287,38875,33873,29,Increase Savings,Fixed Deposits
CUST-0105,61,Female,1891618,Delhi,5941,Amazon,96438,Twitter,14,Negative,4,357,0,Car Loan,16885,12603,47444,43046,72,Reduce Spending,Fixed Deposits
CUST-0106,72,Male,567509,Chennai,8444,Reliance Digital,84663,Instagram,31,Negative,3,435,5,Personal Loan,8134,14711,8933,36337,14,Increase Savings,Bonds
CUST-0107,62,Female,2089258,Jaipur,9589,Amazon,13477,Instagram,10,Negative,5,411,5,Personal Loan,7583,8043,26761,27030,1,Reduce Spending,Stocks
CUST-0108,60,Female,1875529,Ahmedabad,6450,Reliance Digital,63544,LinkedIn,76,Negative,1,659,4,Personal Loan,8063,11071,42933,13673,74,Invest in Mutual Funds,Bonds
CUST-0109,70,Male,500174,Mumbai,3958,Flipkart,50231,Facebook,24,Negative,5,332,0,Personal Loan,10078,10967,34650,36035,94,Invest in Mutual Funds,Fixed Deposits
CUST-0110,56,Female,1437729,Mumbai,3674,Big Bazaar,16236,Instagram,23,Neutral,5,728,1,Personal Loan,9299,7438,33740,5186,33,Invest in Mutual Funds,Gold
CUST-0111,49,Female,1822731,Jaipur,8390,Flipkart,17997,Twitter,66,Negative,2,458,0,Home Loan,16899,6621,22728,31068,71,Increase Savings,Fixed Deposits
CUST-0112,19,Female,1675420,Pune,9989,Reliance Digital,26530,Facebook,81,Negative,4,694,2,Personal Loan,14404,7359,25858,31569,75,Reduce Spending,Fixed Deposits
CUST-0113,53,Male,1007045,Bangalore,3689,DMart,83370,LinkedIn,73,Neutral,2,374,5,Credit Card Offer,13266,12799,14821,13536,19,Increase Savings,Gold
CUST-0114,41,Female,411888,Lucknow,3084,DMart,95336,LinkedIn,39,Positive,1,821,0,Credit Card Offer,10246,13739,12935,49333,48,Reduce Spending,Stocks
CUST-0115,74,Female,2339831,Chennai,6331,Myntra,30398,LinkedIn,43,Positive,2,368,3,Personal Loan,7823,2744,19005,22356,0,Consider a Loan,Gold
CUST-0116,55,Male,615737,Kolkata,2549,DMart,95480,LinkedIn,55,Negative,3,569,0,Credit Card Offer,13684,9573,26750,25199,29,Invest in Mutual Funds,Fixed Deposits
CUST-0117,52,Male,526537,Kolkata,7463,Myntra,15138,Twitter,66,Negative,4,711,0,Credit Card Offer,18536,6433,46319,15817,35,Reduce Spending,Gold
CUST-0118,63,Male,1378530,Hyderabad,8145,Reliance Digital,75403,Facebook,57,Neutral,1,367,3,Home Loan,844,718,32696,17319,75,Consider a Loan,Fixed Deposits
CUST-0119,55,Female,1832645,Lucknow,9297,DMart,91280,Twitter,25,Positive,2,331,0,Home Loan,15596,6016,23936,13397,27,Increase Savings,Gold
CUST-0120,33,Female,870352,Hyderabad,9792,Myntra,80924,LinkedIn,93,Neutral,2,502,0,Credit Card Offer,15996,8030,45482,38544,92,Invest in Mutual Funds,Gold
CUST-0121,67,Male,548410,Mumbai,3445,Big Bazaar,65164,Facebook,45,Neutral,1,397,3,Credit Card Offer,17321,9064,18376,29412,12,Reduce Spending,Gold
CUST-0122,72,Female,1183202,Kolkata,9656,Amazon,63904,Facebook,73,Positive,4,664,0,Personal Loan,6348,7412,29136,2585,1,Consider a Loan,Gold
CUST-0123,69,Female,1393754,Delhi,4455,Flipkart,49163,Twitter,98,Positive,1,421,0,Personal Loan,8246,9096,24358,20346,25,Invest in Mutual Funds,Gold
CUST-0124,51,Male,1342310,Pune,8971,Amazon,83807,Twitter,87,Neutral,2,325,4,Credit Card Offer,4975,13672,46481,8280,42,Invest in Mutual Funds,Gold
CUST-0125,49,Male,2390890,Bangalore,5106,DMart,88174,Facebook,41,Neutral,3,366,1,Car Loan,935,11889,31960,49391,34,Increase Savings,Stocks
CUST-0126,50,Female,2181370,Kolkata,2018,Myntra,66746,Twitter,89,Positive,5,355,2,Home Loan,3220,11902,44812,36216,16,Invest in Mutual Funds,Fixed Deposits
CUST-0127,57,Male,1296989,Kolkata,1735,Myntra,89627,Twitter,99,Negative,2,597,3,Car Loan,4125,5452,24119,1148,56,Consider a Loan,Fixed Deposits
CUST-0128,62,Male,1096958,Hyderabad,3858,DMart,16075,Facebook,79,Neutral,2,500,0,Car Loan,5273,11889,9115,10967,90,Consider a Loan,Stocks
CUST-0129,31,Male,2371076,Bangalore,7047,Myntra,83444,Facebook,68,Negative,4,669,3,Home Loan,1297,6068,43129,35558,69,Invest in Mutual Funds,Stocks
CUST-0130,73,Female,1410527,Lucknow,6742,Myntra,76698,Instagram,76,Neutral,5,725,4,Home Loan,3053,9690,17584,41767,62,Increase Savings,Stocks
CUST-0131,21,Female,2070932,Jaipur,1081,DMart,72291,Instagram,93,Positive,5,505,4,Car Loan,1056,5847,19318,41867,74,Invest in Mutual Funds,Stocks
CUST-0132,37,Female,1583839,Lucknow,7911,Flipkart,29911,LinkedIn,58,Positive,5,496,0,Home Loan,4509,5746,45843,36979,69,Consider a Loan,Gold
CUST-0133,33,Female,1243261,Lucknow,783,Flipkart,59623,LinkedIn,80,Positive,5,399,1,Home Loan,5077,980,8125,5542,20,Invest in Mutual Funds,Bonds
CUST-0134,35,Male,2330249,Ahmedabad,3981,Amazon,42835,Facebook,76,Positive,3,442,4,Car Loan,17322,667,21111,40404,70,Increase Savings,Gold
CUST-0135,68,Male,1282841,Kolkata,1899,Reliance Digital,87542,Instagram,62,Neutral,1,306,5,Car Loan,8354,14091,10371,23759,65,Increase Savings,Fixed Deposits
CUST-0136,70,Female,1345910,Delhi,2237,Reliance Digital,18726,Instagram,97,Neutral,2,741,2,Car Loan,6659,8531,15251,22258,24,Reduce Spending,Stocks
CUST-0137,34,Male,394594,Mumbai,7881,Amazon,7002,Twitter,54,Neutral,3,743,4,Home Loan,13086,3137,6987,11622,22,Invest in Mutual Funds,Stocks
CUST-0138,48,Female,528098,Kolkata,3335,Reliance Digital,6965,LinkedIn,41,Neutral,5,552,1,Home Loan,1155,10577,39129,29397,36,Increase Savings,Stocks
CUST-0139,28,Male,2220509,Jaipur,4516,Myntra,54669,Facebook,44,Neutral,2,316,4,Car Loan,9213,3033,37152,8067,85,Increase Savings,Fixed Deposits
CUST-0140,32,Female,2303536,Jaipur,8787,DMart,64448,LinkedIn,91,Neutral,2,547,4,Car Loan,4645,13645,41778,13238,28,Reduce Spending,Bonds
CUST-0141,44,Female,1235885,Kolkata,5943,Big Bazaar,5281,Twitter,30,Negative,2,656,0,Car Loan,16501,11832,5004,27063,49,Consider a Loan,Fixed Deposits
CUST-0142,62,Male,1417314,Kolkata,496,Amazon,51920,Twitter,25,Negative,2,423,0,Credit Card Offer,11198,10373,37502,18902,31,Invest in Mutual Funds,Fixed Deposits
CUST-0143,46,Male,2128874,Bangalore,8879,Big Bazaar,53234,Instagram,75,Neutral,3,481,3,Credit Card Offer,7467,12442,8129,38305,42,Invest in Mutual Funds,Gold
CUST-0144,48,Female,1058210,Chennai,5208,DMart,42932,LinkedIn,31,Positive,3,562,1,Home Loan,13409,14185,33669,24176,33,Invest in Mutual Funds,Bonds
CUST-0145,65,Male,1419590,Ahmedabad,4268,Big Bazaar,16341,LinkedIn,18,Negative,2,741,3,Credit Card Offer,3934,6909,10348,33392,77,Reduce Spending,Stocks
CUST-0146,65,Male,991180,Delhi,6006,DMart,19206,Instagram,76,Positive,2,400,4,Credit Card Offer,14741,5252,4810,7965,19,Invest in Mutual Funds,Gold
CUST-0147,73,Female,2302713,Ahmedabad,3128,Reliance Digital,92599,Twitter,24,Negative,2,561,4,Car Loan,16979,14412,5054,37306,43,Reduce Spending,Gold
CUST-0148,37,Female,684767,Ahmedabad,4153,Flipkart,37184,LinkedIn,41,Positive,4,495,0,Home Loan,12211,12850,14332,27452,19,Increase Savings,Stocks
CUST-0149,29,Female,1230578,Chennai,8935,Amazon,38952,Instagram,85,Neutral,5,808,1,Home Loan,18474,6764,36580,20248,65,Invest in Mutual Funds,Gold
CUST-0150,40,Female,1186643,Chennai,7484,Amazon,58046,Facebook,31,Negative,3,510,3,Personal Loan,3767,9241,1697,21226,63,Invest in Mutual Funds,Bonds
CUST-0151,39,Male,1422993,Pune,419,DMart,65807,Instagram,35,Negative,3,325,0,Personal Loan,3826,13717,23118,27602,84,Reduce Spending,Gold
CUST-0152,26,Female,385435,Delhi,2446,DMart,71164,Instagram,63,Negative,3,664,3,Credit Card Offer,10318,2614,12219,18235,67,Invest in Mutual Funds,Bonds
CUST-0153,23,Male,2111491,Pune,6124,Myntra,26506,Facebook,88,Positive,1,663,4,Credit Card Offer,19619,11120,22183,46343,96,Invest in Mutual Funds,Fixed Deposits
CUST-0154,58,Male,2286205,Pune,4401,Myntra,52030,Twitter,2,Neutral,1,468,5,Credit Card Offer,7676,4327,23001,24638,17,Increase Savings,Gold
CUST-0155,40,Male,1767877,Ahmedabad,656,Myntra,70613,Facebook,66,Negative,5,846,5,Car Loan,17516,6201,43646,47391,97,Invest in Mutual Funds,Fixed Deposits
CUST-0156,38,Female,1092435,Mumbai,3656,Myntra,58681,Facebook,16,Positive,4,793,3,Home Loan,11185,10983,19640,11665,47,Increase Savings,Stocks
CUST-0157,65,Female,2292927,Chennai,4049,Big Bazaar,91639,Facebook,45,Positive,2,685,4,Home Loan,19643,5611,25897,43540,15,Invest in Mutual Funds,Stocks
