business_id,business_name,industry,annual_revenue,annual_expenses,profit_margin,credit_score,loan_amount,risk_category,social_media_presence,customer_sentiment_score
BUS-00027,Business_27,Manufacturing,22314947.73,12901530.54,42.18,345,982877.35,High,1987660,4.3
BUS-00028,Business_28,Technology,3977695.49,1283915.75,67.72,334,72840.92,High,925807,3.91
BUS-00029,Business_29,Technology,31584266.75,5306139.68,83.2,828,4034326.7,Low,4833302,3.2
BUS-00030,Business_30,Real Estate,25183070.03,2854473.69,88.67,622,722128.48,Medium,3603503,3.7
BUS-00031,Business_31,Retail,48298496.87,14318542.62,70.35,706,8429217.35,Low,2106580,3.24
BUS-00032,Business_32,Retail,3847819.85,2383876.1,38.05,366,1077074.79,High,2238353,4.92
BUS-00033,Business_33,Technology,10530045.84,4735942.19,55.02,571,912007.21,Medium,1864782,1.72
BUS-00034,Business_34,Technology,35540426.9,16376865.59,53.92,849,10631955.05,Low,3740430,3.74
BUS-00035,Business_35,Real Estate,4057500.67,3225818.98,20.5,337,822783.88,High,1634822,1.61
BUS-00036,Business_36,Education,30289660.04,21275466.91,29.76,567,4873850.48,Medium,1660102,1.27
BUS-00037,Business_37,Education,11593485.31,8861021.77,23.57,836,2994919.8,Low,2276337,1.05
BUS-00038,Business_38,Technology,27535143.45,20749000.21,24.65,352,6613474.11,High,323814,3.12
BUS-00039,Business_39,Finance,2331436.78,984632.51,57.77,565,149619.93,Medium,469756,3.7
BUS-00040,Business_40,Finance,46736462.7,36864570.91,21.12,607,5098064.34,Medium,4750562,3.15
BUS-00041,Business_41,Education,29295800.92,4208584.22,85.63,749,6000874.75,Low,728417,1.55
BUS-00042,Business_42,Healthcare,49582722.28,39577166.18,20.18,817,13749693.72,Low,1527107,4.93
BUS-00043,Business_43,Retail,42476129.55,21504574.68,49.37,675,1822435.67,Medium,4694198,2.15
BUS-00044,Business_44,Technology,5823222.42,559632.49,90.39,595,1667111.88,Medium,4315098,1.03
BUS-00045,Business_45,Finance,41936750.08,19972646.81,52.37,511,12073458.65,Medium,3709047,3.19
BUS-00046,Business_46,Healthcare,42223080.87,32483128.9,23.07,849,10375111.67,Low,3576751,3.76
BUS-00047,Business_47,Real Estate,39045275.77,14581743.97,62.65,304,1813455.12,High,2891901,3.62
BUS-00048,Business_48,Manufacturing,5216178.71,1156373.83,77.83,568,90825.76,Medium,1103333,3.83
BUS-00049,Business_49,Retail,9094382.91,7795543.98,14.28,348,360772.18,High,4704889,3.24
BUS-00050,Business_50,Finance,19073635.12,11559063.14,39.4,450,3654466.29,High,2683316,3.91
BUS-00051,Business_51,Technology,46204124.18,4081789.89,91.17,334,7958572.36,High,1448243,4.49
BUS-00052,Business_52,Education,27906442.36,750337.71,97.31,569,308628.12,Medium,1184349,2.75
BUS-00053,Business_53,Real Estate,49515668.74,6895466.99,86.07,831,3502016.08,Low,3357444,1.09
BUS-00054,Business_54,Retail,30004393.02,22871246.89,23.77,429,383678.57,High,2101971,3.14
BUS-00055,Business_55,Healthcare,44325172.53,11088988.63,74.98,665,427856.78,Medium,2655485,2.9
BUS-00056,Business_56,Technology,27323914.94,10273181.44,62.4,797,4385240.63,Low,431384,3.9
BUS-00057,Business_57,Real Estate,26955007.22,16532010.04,38.67,719,5203938.29,Low,3979519,4.33
BUS-00058,Business_58,Retail,7128038.65,2629087.59,63.12,800,1022765.37,Low,228670,3.79
BUS-00059,Business_59,Healthcare,17718047.38,11866098.17,33.03,334,275017.26,High,907445,3.22
BUS-00060,Business_60,Healthcare,34526442.91,10291116.68,70.19,369,4405236.72,High,4760456,3.84
BUS-00061,Business_61,Healthcare,22735172.18,11415033.87,49.79,440,1011063.9,High,4158008,4.51
BUS-00062,Business_62,Finance,42243686.22,25889777.78,38.71,690,3251626.36,Medium,4723687,1.8
BUS-00063,Business_63,Technology,12192029.78,3629999.93,70.23,661,1429967.38,Medium,2293470,4.05
BUS-00064,Business_64,Healthcare,16989924.46,13969125.25,17.78,323,3538185.36,High,4386319,4.46
BUS-00065,Business_65,Education,5937974.59,1322767.58,77.72,561,1744517.92,Medium,4776063,2.06
BUS-00066,Business_66,Finance,36015585.01,2949531.77,91.81,325,5442187.57,High,3169789,3.32
BUS-00067,Business_67,Finance,8671150.96,7109241.6,18.01,780,329788.12,Low,4662224,2.38
BUS-00068,Business_68,Technology,44960387.64,33393311.57,25.73,321,913049.17,High,1005850,3.18
BUS-00069,Business_69,Real Estate,21402982.81,17278368.0,19.27,476,4501798.06,High,3393482,4.33
BUS-00070,Business_70,Retail,37106780.58,11362040.89,69.38,309,1165676.13,High,1819723,1.2
BUS-00071,Business_71,Retail,10063263.98,794625.11,92.1,410,1708929.94,High,274546,3.92
BUS-00072,Business_72,Healthcare,26849089.68,4642808.76,82.71,669,6905848.49,Medium,2882074,3.71
BUS-00073,Business_73,Technology,26015565.68,10267074.8,60.53,325,7389055.27,High,2995421,4.48
BUS-00074,Business_74,Education,26862680.95,14999675.1,44.16,473,6151532.46,High,4177774,4.62
BUS-00075,Business_75,Finance,22352875.35,16962566.85,24.11,450,923880.41,High,3169376,3.92
BUS-00076,Business_76,Finance,37146077.94,20976250.28,43.53,371,7801225.35,High,2780574,2.1
BUS-00077,Business_77,Finance,20687317.95,10126046.59,51.05,463,4273466.39,High,2375724,1.66
BUS-00078,Business_78,Education,12703348.36,342196.02,97.31,815,2381416.78,Low,4999528,2.98
BUS-00079,Business_79,Education,32492508.49,8940439.56,72.48,839,7546199.03,Low,4088361,4.8
BUS-00080,Business_80,Manufacturing,48849241.55,39912802.24,18.29,533,1001700.22,Medium,3144122,4.68
BUS-00081,Business_81,Technology,8892539.27,5678389.92,36.14,848,777863.1,Low,3842983,2.96
BUS-00082,Business_82,Real Estate,6960288.89,3774782.59,45.77,707,2043586.05,Low,3269179,2.89
BUS-00083,Business_83,Finance,30646661.41,23851334.71,22.17,318,5615165.09,High,168991,4.32
BUS-00084,Business_84,Retail,22620339.52,4169330.13,81.57,486,2344297.23,High,248546,2.11
BUS-00085,Business_85,Technology,33412641.95,3095036.97,90.74,556,8536929.8,Medium,312228,1.14
BUS-00086,Business_86,Manufacturing,48467153.15,218888.3,99.55,770,5742032.14,Low,2926550,2.84
BUS-00087,Business_87,Retail,30527993.77,5512052.33,81.94,461,160742.57,High,882861,2.6
BUS-00088,Business_88,Education,21316540.12,17678278.38,17.07,407,181669.71,High,2476694,4.5
BUS-00089,Business_89,Education,43546457.63,32513837.9,25.34,697,12633320.03,Medium,3197212,3.87
BUS-00090,Business_90,Technology,21006127.56,3538879.12,83.15,398,3828449.58,High,4766169,2.79
BUS-00091,Business_91,Finance,36941357.85,6942574.31,81.21,324,7235601.87,High,2132777,3.58
BUS-00092,Business_92,Education,25642337.92,8541368.75,66.69,329,4704482.47,High,1569910,3.02
BUS-00093,Business_93,Technology,4988970.38,3281719.1,34.22,398,1009245.81,High,4283759,3.24
BUS-00094,Business_94,Finance,38198714.43,13867153.02,63.7,559,3626122.81,Medium,768227,1.09
BUS-00095,Business_95,Retail,28046808.25,10048833.81,64.17,524,5528484.51,Medium,1187528,3.75
BUS-00096,Business_96,Education,23123479.13,837587.09,96.38,804,4689177.88,Low,746712,1.78
BUS-00097,Business_97,Retail,32657646.78,9350151.11,71.37,589,3968508.73,Medium,1917774,2.08
BUS-00098,Business_98,Technology,47425042.1,13658916.12,71.2,428,844559.93,High,1090470,2.76
BUS-00099,Business_99,Manufacturing,21859423.28,2726196.51,87.53,713,5708720.69,Low,3425796,4.94
BUS-00100,Business_100,Technology,14224160.9,7100337.56,50.08,412,3197994.79,High,1142887,1.88
BUS-00101,Business_101,Manufacturing,37270924.58,19121842.09,48.7,463,8111167.01,High,3711111,3.98
BUS-00102,Business_102,Finance,45292763.71,16247822.39,64.13,717,12130052.03,Low,2167991,2.57
BUS-00103,Business_103,Technology,9034223.2,6312876.32,30.12,395,1613255.55,High,3225570,3.61
BUS-00104,Business_104,Education,18729289.59,15587084.24,16.78,392,2181279.94,High,3958215,4.34
BUS-00105,Business_105,Healthcare,44185467.3,36168137.45,18.14,365,3985610.65,High,575312,4.95
BUS-00106,Business_106,Retail,34493109.19,5877379.49,82.96,566,5901848.71,Medium,546659,1.93
BUS-00107,Business_107,Real Estate,24777805.22,21053954.94,15.03,796,1623227.26,Low,1070597,3.51
BUS-00108,Business_108,Education,41364369.71,30138317.3,27.14,485,2326924.68,High,4455134,2.09
BUS-00109,Business_109,Technology,3142561.2,1435622.04,54.32,800,849685.11,Low,7510,2.4
BUS-00110,Business_110,Healthcare,20746687.27,14580867.73,29.72,730,5688376.99,Low,2846040,3.48
BUS-00111,Business_111,Real Estate,34145818.0,9591499.92,71.91,363,439391.03,High,55389,1.11
BUS-00112,Business_112,Education,20511221.33,5598746.05,72.7,802,5015021.09,Low,3687640,1.73
BUS-00113,Business_113,Retail,28683660.3,7843326.74,72.66,744,755359.85,Low,1410699,3.26
BUS-00114,Business_114,Technology,5048353.18,1158278.46,77.06,800,1261088.92,Low,2477340,4.5
BUS-00115,Business_115,Healthcare,18330527.56,6930136.31,62.19,666,3050006.34,Medium,1350166,1.03
BUS-00116,Business_116,Technology,11808766.41,2628443.85,77.74,531,2600993.85,Medium,1890102,1.07
BUS-00117,Business_117,Manufacturing,14517252.75,5842991.72,59.75,452,1826773.75,High,4463969,1.4
BUS-00118,Business_118,Technology,44642485.68,18611518.59,58.31,731,3235434.31,Low,981815,1.99
BUS-00119,Business_119,Healthcare,46936962.36,18929081.94,59.67,604,9042866.09,Medium,537753,4.23
BUS-00120,Business_120,Finance,32876077.54,8414316.0,74.41,820,3490120.05,Low,2455298,4.09
BUS-00121,Business_121,Education,19900722.1,8185137.96,58.87,450,572357.27,High,1190273,4.93
BUS-00122,Business_122,Education,20395367.46,2293613.27,88.75,652,2564804.77,Medium,2533105,4.85
BUS-00123,Business_123,Finance,40990779.11,33756233.86,17.65,658,3380801.36,Medium,2274842,4.49
BUS-00124,Business_124,Manufacturing,19300104.33,10088788.3,47.73,771,5045583.26,Low,1848359,3.68
BUS-00125,Business_125,Technology,36342611.78,4693983.38,87.08,681,1733081.38,Medium,2455911,3.42
BUS-00126,Business_126,Education,33160934.03,24494687.58,26.13,716,7030678.82,Low,1127491,3.25
BUS-00127,Business_127,Education,35886478.05,31224017.15,12.99,752,3495695.49,Low,281362,4.07
BUS-00128,Business_128,Healthcare,10485598.24,5398064.53,48.52,489,741545.31,High,1548901,2.64
BUS-00129,Business_129,Finance,39521017.49,6108777.2,84.54,821,7648768.37,Low,2728962,2.27
BUS-00130,Business_130,Education,13547303.66,2244694.35,83.43,514,625378.13,Medium,3121141,1.22
BUS-00131,Business_131,Manufacturing,565000.92,147306.97,73.93,620,141080.31,Medium,3496874,4.85
BUS-00132,Business_132,Manufacturing,32971287.24,1429112.8,95.67,423,5267121.48,High,2941742,4.53
BUS-00133,Business_133,Retail,34959219.16,7326558.99,79.04,661,3098240.12,Medium,832406,1.56
BUS-00134,Business_134,Real Estate,5417083.22,1659158.09,69.37,321,1306694.4,High,1785078,2.42
BUS-00135,Business_135,Technology,4557892.2,965872.63,78.81,350,1333370.71,High,3843717,2.28
BUS-00136,Business_136,Real Estate,39996964.39,4766343.45,88.08,529,2856523.29,Medium,4745113,3.08
BUS-00137,Business_137,Retail,38840023.65,5215846.8,86.57,508,4850191.96,Medium,3636571,2.57
BUS-00138,Business_138,Healthcare,22817908.17,2779119.27,87.82,320,4651797.31,High,1218378,3.99
BUS-00139,Business_139,Healthcare,14256775.87,4172859.82,70.73,603,1532147.71,Medium,2476332,1.51
BUS-00140,Business_140,Manufacturing,24233687.97,6959784.43,71.28,772,5147244.2,Low,1796477,1.92
BUS-00141,Business_141,Healthcare,30356042.16,20935140.02,31.03,584,5895303.06,Medium,3932647,4.07
BUS-00142,Business_142,Retail,39623101.51,17447268.06,55.97,417,7729622.4,High,3373502,1.33
BUS-00143,Business_143,Healthcare,47536853.53,9284008.13,80.47,465,220316.05,High,4850773,2.19
BUS-00144,Business_144,Retail,21127964.75,9262306.55,56.16,450,5933935.76,High,2795320,3.06
BUS-00145,Business_145,Healthcare,11815930.98,2342993.88,80.17,743,1833793.72,Low,1310605,4.07
BUS-00146,Business_146,Finance,49104499.12,7946574.15,83.82,671,3435101.78,Medium,3064506,3.35
BUS-00147,Business_147,Retail,11265610.05,5262219.06,53.29,301,1706419.57,High,1502239,4.17
BUS-00148,Business_148,Healthcare,19827362.52,8804259.66,55.6,391,4860632.35,High,3387803,2.8
BUS-00149,Business_149,Education,27431037.47,3203139.48,88.32,419,4507753.16,High,4074818,3.04
BUS-00150,Business_150,Real Estate,29858442.83,9630313.11,67.75,573,7347163.1,Medium,3370030,1.38
BUS-00151,Business_151,Finance,28955536.84,14113195.16,51.26,594,4829046.43,Medium,4187928,3.42
BUS-00152,Business_152,Technology,14638951.5,3787730.97,74.13,583,1384455.46,Medium,80083,3.5
BUS-00153,Business_153,Manufacturing,7552236.67,4025145.35,46.7,665,309264.11,Medium,553801,3.01
BUS-00154,Business_154,Technology,12772850.0,7563284.41,40.79,774,3134156.25,Low,3125012,3.89
BUS-00155,Business_155,Manufacturing,10671726.77,403827.36,96.22,412,128690.16,High,1889597,3.89
BUS-00156,Business_156,Retail,36554399.26,26960124.06,26.25,559,7846754.72,Medium,717568,4.87
BUS-00157,Business_157,Education,25936501.34,18250869.27,29.63,597,355431.04,Medium,1641236,3.82
BUS-00158,Business_158,Technology,35840906.41,30627247.49,14.55,557,1901172.49,Medium,1055371,4.7
BUS-00159,Business_159,Education,1501015.16,216555.38,85.57,442,413156.85,High,759905,4.16
BUS-00160,Business_160,Real Estate,49305120.72,29510518.35,40.15,354,7881928.28,High,2151197,3.5
BUS-00161,Business_161,Healthcare,3954886.52,2899719.44,26.68,404,684518.25,High,4083100,4.79
BUS-00162,Business_162,Technology,29926714.12,21060063.3,29.63,625,5636903.83,Medium,1884725,4.34
BUS-00163,Business_163,Technology,40352940.46,35169953.48,12.84,558,11592465.79,Medium,4177375,3.51
BUS-00164,Business_164,Manufacturing,16311953.65,11275113.44,30.88,661,1223218.72,Medium,4079,2.01
BUS-00165,Business_165,Real Estate,37634648.99,21898721.63,41.81,436,1527327.46,High,1579574,1.8
BUS-00166,Business_166,Retail,45535825.95,4399237.92,90.34,517,4145199.94,Medium,1526196,2.82
BUS-00167,Business_167,Real Estate,48899152.65,18088216.32,63.01,319,4847226.24,High,2910777,2.43
BUS-00168,Business_168,Healthcare,4398894.44,2599426.77,40.91,532,1032187.99,Medium,2728840,2.57
BUS-00169,Business_169,Healthcare,9953981.77,4052467.53,59.29,623,2727389.44,Medium,1679773,2.73
BUS-00170,Business_170,Manufacturing,19126338.72,14763722.04,22.81,736,4107152.18,Low,499032,4.54
BUS-00171,Business_171,Healthcare,40767055.73,22706786.84,44.3,654,4324316.97,Medium,3285370,2.33
BUS-00172,Business_172,Manufacturing,2907483.77,690997.91,76.23,574,580767.75,Medium,2459078,3.73
BUS-00173,Business_173,Finance,1861401.91,1324619.75,28.84,838,534834.03,Low,1943977,3.8
BUS-00174,Business_174,Retail,14133994.87,8097792.31,42.71,699,2374401.25,Medium,3096547,2.62
BUS-00175,Business_175,Retail,25450578.85,8326763.13,67.28,424,1465579.07,High,765559,2.43
BUS-00176,Business_176,Finance,40788997.39,24759467.53,39.3,314,5873741.48,High,1787104,2.69
BUS-00177,Business_177,Retail,45065211.9,32095747.8,28.78,471,8052506.09,High,4766095,2.67
BUS-00178,Business_178,Finance,18747539.61,13671894.3,27.07,809,4772752.86,Low,3086981,3.45
BUS-00179,Business_179,Retail,2753442.19,1557384.43,43.44,815,82051.61,Low,1089306,2.2
BUS-00180,Business_180,Technology,35614673.72,15128672.85,57.52,594,7770652.54,Medium,2684396,2.58
BUS-00181,Business_181,Retail,4469091.47,3623261.18,18.93,793,569377.74,Low,2468345,4.16
BUS-00182,Business_182,Finance,14431611.81,10085913.82,30.11,385,2866406.14,High,4921540,1.13
BUS-00183,Business_183,Education,15433162.38,1808263.23,88.28,808,3404681.77,Low,111378,4.74
BUS-00184,Business_184,Education,15408151.91,4588695.85,70.22,524,3613245.82,Medium,3913750,4.16
BUS-00185,Business_185,Retail,37999071.3,20467516.85,46.14,422,5871100.83,High,4479812,1.26
BUS-00186,Business_186,Manufacturing,5560072.06,3078704.17,44.63,531,924873.25,Medium,1964377,2.72
BUS-00187,Business_187,Retail,26032270.15,14998125.27,42.39,459,313.3,High,2754300,2.99
BUS-00188,Business_188,Retail,36185983.95,18542960.04,48.76,505,9782221.17,Medium,3107116,1.73
BUS-00189,Business_189,Manufacturing,15634600.04,5624887.13,64.02,611,2491061.59,Medium,1414638,4.12
BUS-00190,Business_190,Real Estate,42851301.49,38412830.24,10.36,575,11036679.41,Medium,2954334,1.09
BUS-00191,Business_191,Healthcare,25843814.66,18423938.89,28.71,436,472139.19,High,846124,3.25
BUS-00192,Business_192,Education,563238.75,273835.19,51.38,472,10115.67,High,3508209,1.6
BUS-00193,Business_193,Technology,17152338.3,8091889.56,52.82,535,2543828.45,Medium,969951,3.73
BUS-00194,Business_194,Technology,47188993.3,8935870.99,81.06,843,1229646.64,Low,1049124,3.38
BUS-00195,Business_195,Technology,35423073.36,2829765.42,92.01,620,9115977.34,Medium,4179054,1.31
BUS-00196,Business_196,Education,7981745.99,3416572.71,57.2,550,1820754.72,Medium,1930553,2.86
BUS-00197,Business_197,Education,6118825.02,318084.41,94.8,617,1071176.27,Medium,3869670,3.19
BUS-00198,Business_198,Manufacturing,4766980.15,440210.25,90.77,724,1056805.99,Low,1182697,3.77
BUS-00199,Business_199,Healthcare,39009087.59,27624531.65,29.18,322,9167406.91,High,3738826,2.18
BUS-00200,Business_200,Technology,1834289.76,1281775.55,30.12,585,418447.84,Medium,461309,3.82
BUS-00201,Business_201,Real Estate,45521209.96,22206431.11,51.22,374,5281833.65,High,2885839,1.52
BUS-00202,Business_202,Retail,27034533.7,22724934.06,15.94,779,2825693.19,Low,3349438,1.27
BUS-00203,Business_203,Retail,31407527.89,18754307.19,40.29,529,2655632.26,Medium,2614068,1.91
BUS-00204,Business_204,Real Estate,16194182.88,3921462.46,75.78,622,573774.48,Medium,1860050,1.89
BUS-00205,Business_205,Manufacturing,46794507.98,20400631.36,56.4,805,4636223.02,Low,1194118,4.18
BUS-00206,Business_206,Education,17734708.14,777247.27,95.62,379,5128818.77,High,3720257,1.7
BUS-00207,Business_207,Education,47830109.41,13892609.7,70.95,637,13746281.62,Medium,2760504,4.48
BUS-00208,Business_208,Manufacturing,33927711.58,19166428.21,43.51,347,9427656.65,High,225596,4.83
BUS-00209,Business_209,Healthcare,15090060.5,8144527.48,46.03,354,1249866.94,High,2144094,4.33
BUS-00210,Business_210,Real Estate,1753597.59,398137.59,77.3,487,486252.16,High,2526558,2.2
BUS-00211,Business_211,Technology,31634769.78,24269037.35,23.28,710,3104319.5,Low,1335672,1.21
BUS-00212,Business_212,Manufacturing,10897035.38,5242641.13,51.89,703,1851936.3,Low,2327239,3.25
BUS-00213,Business_213,Finance,15127758.4,5900199.29,61.0,315,1092002.28,High,741432,1.39
BUS-00214,Business_214,Finance,11713449.8,7079336.0,39.56,793,2321363.91,Low,2341876,4.87
BUS-00215,Business_215,Real Estate,10519583.55,9047670.63,13.99,654,1411792.67,Medium,3689842,3.3
BUS-00216,Business_216,Retail,23863326.26,8617856.82,63.89,511,5304426.56,Medium,3458676,2.94
BUS-00217,Business_217,Manufacturing,48194760.09,27349599.34,43.25,329,12877108.07,High,468940,1.5
BUS-00218,Business_218,Retail,36883626.9,29787240.19,19.24,590,1380238.04,Medium,1143352,4.93
BUS-00219,Business_219,Retail,20381336.36,12826782.9,37.07,666,4665404.12,Medium,3622245,1.95
BUS-00220,Business_220,Education,9158387.89,4330695.08,52.71,618,1663223.06,Medium,1526627,3.03
BUS-00221,Business_221,Education,6597255.93,633386.73,90.4,566,705161.18,Medium,2498848,2.12
BUS-00222,Business_222,Real Estate,6111777.98,4800083.22,21.46,323,793326.27,High,1434619,1.02
BUS-00223,Business_223,Education,26036054.48,6581750.25,74.72,314,6787352.96,High,643237,1.57
BUS-00224,Business_224,Finance,37220821.4,19294614.19,48.16,329,8077670.14,High,2063289,3.06
BUS-00225,Business_225,Finance,30230036.64,4596130.08,84.8,785,4595907.87,Low,3352927,3.4
BUS-00226,Business_226,Finance,47899925.78,3694353.94,92.29,781,8700235.37,Low,3152470,1.86
BUS-00227,Business_227,Manufacturing,36355886.38,20869307.98,42.6,403,4261450.91,High,2625087,1.12
BUS-00228,Business_228,Healthcare,1255006.83,799721.61,36.28,648,275900.99,Medium,3808726,2.0
BUS-00229,Business_229,Retail,1956787.27,539268.49,72.44,807,325176.03,Low,983114,4.14
BUS-00230,Business_230,Manufacturing,7896800.42,3884655.71,50.81,604,905579.94,Medium,4660015,1.7
BUS-00231,Business_231,Education,19461434.09,17512991.61,10.01,457,1071844.9,High,3514420,4.7
BUS-00232,Business_232,Retail,12332552.88,3344260.52,72.88,497,1415013.28,High,3840450,1.99
BUS-00233,Business_233,Finance,9769202.22,1367103.61,86.01,313,979903.33,High,4617024,1.26
BUS-00234,Business_234,Manufacturing,10880940.93,5973124.59,45.1,836,213955.44,Low,1289273,4.95
BUS-00235,Business_235,Education,29564352.75,13759737.69,53.46,575,688849.13,Medium,121818,4.96
BUS-00236,Business_236,Technology,43784613.17,10709177.89,75.54,658,2511395.83,Medium,4627213,3.7
BUS-00237,Business_237,Real Estate,22220257.92,15132869.26,31.9,605,3319607.85,Medium,1572700,4.53
BUS-00238,Business_238,Education,24374794.92,17012906.91,30.2,531,3627250.68,Medium,1933614,4.46
BUS-00239,Business_239,Retail,6583189.49,1123248.27,82.94,736,117353.94,Low,1475193,4.15
BUS-00240,Business_240,Real Estate,30067669.04,3682337.89,87.75,548,6205036.49,Medium,1647840,2.91
BUS-00241,Business_241,Technology,38783540.9,17659199.85,54.47,711,8444435.92,Low,4282964,2.79
BUS-00242,Business_242,Manufacturing,26455190.35,5073086.25,80.82,585,3494296.57,Medium,1415760,2.88
BUS-00243,Business_243,Real Estate,13367662.35,1465988.46,89.03,361,701331.11,High,356986,2.68
BUS-00244,Business_244,Education,40430464.7,29100886.81,28.02,319,8162442.8,High,3094218,4.92
BUS-00245,Business_245,Education,19700247.15,1470779.22,92.53,483,308454.92,High,4572588,3.4
BUS-00246,Business_246,Education,31809404.19,22412609.19,29.54,555,5112975.01,Medium,4992699,1.23
BUS-00247,Business_247,Technology,7248044.39,1994749.03,72.48,384,727982.4,High,4818010,1.24
BUS-00248,Business_248,Manufacturing,22978099.28,7194233.83,68.69,402,1807040.24,High,4259155,1.91
BUS-00249,Business_249,Healthcare,14115104.31,8907863.43,36.89,336,147895.91,High,1496487,3.08
BUS-00250,Business_250,Education,13172526.54,3399903.76,74.19,566,3046104.68,Medium,1150498,1.45
BUS-00251,Business_251,Finance,13934908.85,10467874.03,24.88,623,2152520.32,Medium,4889157,4.71
BUS-00252,Business_252,Manufacturing,35179169.11,23995863.3,31.79,785,2072635.4,Low,34073,1.49
BUS-00253,Business_253,Healthcare,31422070.88,28266004.35,10.04,580,191830.25,Medium,3122084,1.78
BUS-00254,Business_254,Real Estate,24599177.51,8440803.05,65.69,348,2204886.43,High,1563367,3.99
BUS-00255,Business_255,Retail,16130683.56,722617.03,95.52,405,2254589.8,High,218933,3.37
BUS-00256,Business_256,Technology,3168644.85,1713667.54,45.92,392,244448.53,High,4706838,2.35
BUS-00257,Business_257,Manufacturing,33284721.18,19702938.67,40.8,477,9216688.82,High,734871,3.42
BUS-00258,Business_258,Finance,4926926.8,2373477.45,51.83,819,905489.46,Low,1352153,3.15
BUS-00259,Business_259,Education,16210057.98,10580994.12,34.73,644,3606700.41,Medium,2023656,4.99
BUS-00260,Business_260,Technology,46616324.79,16199792.32,65.25,850,5650197.41,Low,3225517,3.76
BUS-00261,Business_261,Real Estate,41480665.65,12927535.48,68.83,723,6659413.22,Low,366987,3.92
BUS-00262,Business_262,Finance,39325291.52,31546464.89,19.78,621,5561514.15,Medium,1293678,1.43
BUS-00263,Business_263,Retail,5251867.35,948231.27,81.94,519,1598.78,Medium,4803663,1.36
BUS-00264,Business_264,Retail,5323525.8,3793708.44,28.74,773,445026.87,Low,2589070,4.25
BUS-00265,Business_265,Finance,2393765.3,738963.06,69.13,456,257344.25,High,574600,3.68
BUS-00266,Business_266,Manufacturing,12861276.05,3234544.82,74.85,819,195908.17,Low,257639,2.15
BUS-00267,Business_267,Education,36940919.23,25759322.06,30.27,671,3001390.96,Medium,3738816,1.77
BUS-00268,Business_268,Technology,49042914.05,23134420.58,52.83,684,8247554.79,Medium,2877567,5.0
BUS-00269,Business_269,Finance,26652373.63,23098846.37,13.33,470,3019728.23,High,4592667,2.91
BUS-00270,Business_270,Retail,31938725.24,24937637.52,21.92,691,6045546.82,Medium,1572093,4.89
BUS-00271,Business_271,Finance,32484089.34,11321238.86,65.15,580,6121854.9,Medium,2141658,3.57
